"Date","Price","Vol.","weekday","mom","mom1","mom2","mom3","ROC_5","ROC_10","ROC_15","ROC_20","EMA_10","EMA_20","EMA_50","EMA_200","Name"
"2010-01-04","7326.7","0.034287155","0","-0.003834179","-0.003090394","-0.002190995","-0.004242196","-1.643151522","-1.571798971","4.245692415","3.172613851","7348.48799","7276.274822","7212.176881","7260.411692","NYSE"
"2010-01-05","7354.9","0.096272658","1","-0.003090394","-0.002190995","-0.004242196","-0.003181592","-0.210300662","0.34243772","4.538347831","4.434441825","7353.329766","7270.966909","7207.502468","7259.745478","NYSE"
"2010-01-06","7377.7","0.034465164","2","-0.002190995","-0.004242196","-0.003181592","0.010677847","-0.705239499","2.832253119","6.047146759","8.688990704","7352.980825","7262.131846","7201.486242","7258.789151","NYSE"
"2010-01-07","7393.9","0.20360586","3","-0.004242196","-0.003181592","0.010677847","-0.008034885","-0.733033497","5.167411032","7.41015137","9.009553577","7347.487675","7249.966778","7194.293844","7257.594067","NYSE"
"2010-01-08","7425.4","0.117684476","4","-0.003181592","0.010677847","-0.008034885","-0.002470296","0.932470639","4.980842912","5.953026455","10.5974173","7337.173825","7234.815912","7186.146654","7256.224158","NYSE"
"2010-01-11","7449.1","-0.071122934","0","0.010677847","-0.008034885","-0.002470296","0.012464659","0.072544568","5.987223084","4.896217647","8.98144897","7317.568009","7214.754429","7176.381211","7254.523898","NYSE"
"2010-01-12","7370.4","-0.207605637","1","-0.008034885","-0.002470296","0.012464659","-0.011674302","0.553903244","4.758655978","4.654530997","8.084644601","7288.338677","7190.086474","7165.249832","7252.56836","NYSE"
"2010-01-13","7430.1","0.163873224","2","-0.002470296","0.012464659","-0.011674302","0.015539305","3.562617604","6.800344976","9.460952577","7.702900546","7270.102828","7171.106103","7156.876356","7251.384122","NYSE"
"2010-01-14","7448.5","0.127232366","3","0.012464659","-0.011674302","0.015539305","0.021646108","5.944016158","8.203317935","9.814530872","8.348122073","7234.547901","7143.843588","7145.72437","7249.587983","NYSE"
"2010-01-15","7356.8","0.03704395","4","-0.011674302","0.015539305","0.021646108","0.02046767","4.010971144","4.974173111","9.575656474","4.89634129","7187.00299","7111.774492","7133.366181","7247.588867","NYSE"
"2010-01-19","7443.7","-0.102481805","1","0.015539305","0.021646108","0.02046767","-0.006008681","5.910390848","4.820176303","8.902446161","5.806515806","7149.270321","7085.982333","7124.246434","7246.491268","NYSE"
"2010-01-20","7329.8","-0.06161931","2","0.021646108","0.02046767","-0.006008681","0.00637423","4.181590767","4.07803936","7.489258113","3.522399864","7083.841503","7048.327842","7111.207512","7244.50927","NYSE"
"2010-01-21","7174.5","-0.056268177","3","0.02046767","-0.006008681","0.00637423","-0.00103758","3.126347564","5.69542863","3.997854668","1.288965439","7029.184059","7018.699194","7102.28537","7243.652077","NYSE"
"2010-01-22","7030.6","0.050643779","4","-0.006008681","0.00637423","-0.00103758","0.011297973","2.132543072","3.653358495","2.269222937","-0.67669704","6996.891628","7002.299109","7099.337834","7244.347073","NYSE"
"2010-01-25","7073.1","0.116363345","0","0.00637423","-0.00103758","0.011297973","0.010633662","0.926058046","5.35009458","0.85122765","1.41226737","6989.400878","6999.320068","7102.14346","7246.495285","NYSE"
"2010-01-26","7028.3","-0.021568638","1","-0.00103758","0.011297973","0.010633662","-0.017750635","-1.02937449","2.825081929","-0.098078235","-0.034136004","6970.801073","6991.553759","7103.328907","7248.237951","NYSE"
"2010-01-27","7035.6","-0.07974981","2","0.011297973","0.010633662","-0.017750635","-0.013124173","-0.09939511","3.174905779","-0.632732614","0.316536915","6958.023534","6987.685734","7106.391312","7250.448382","NYSE"
"2010-01-28","6957","0.205284614","3","0.010633662","-0.017750635","-0.013124173","0.008349189","2.491197572","0.845086755","-1.781680596","-1.108742004","6940.78432","6982.642127","7109.280753","7252.607663","NYSE"
"2010-01-29","6883.8","0.03191542","4","-0.017750635","-0.013124173","0.008349189","0.037522651","1.489060565","0.133825968","-2.750582751","-3.055993691","6937.180835","6985.341298","7115.496294","7255.578594","NYSE"
"2010-02-01","7008.2","0.014832045","0","-0.013124173","0.008349189","0.037522651","0.000751902","4.383443304","-0.074143782","0.481748057","-1.790919283","6949.043243","6996.029855","7124.953286","7259.315062","NYSE"
"2010-02-02","7101.4","-0.0207219","1","0.008349189","0.037522651","0.000751902","0.010262292","3.89454588","0.940982488","1.005589771","-0.883498262","6935.897297","6994.748788","7129.718726","7261.838832","NYSE"
"2010-02-03","7042.6","0.492601412","2","0.037522651","0.000751902","0.010262292","-0.017746372","3.277558622","-0.533868143","0.416345852","-1.819297096","6899.118919","6983.522344","7130.874592","7263.451282","NYSE"
"2010-02-04","6787.9","-0.345494677","3","0.000751902","0.010262292","-0.017746372","0.002361015","-1.6060997","-4.169019652","-3.512437811","-6.904118607","6867.234234","6977.303644","7134.477637","7265.670893","NYSE"
"2010-02-05","6782.8","-0.045520471","4","0.010262292","-0.017746372","0.002361015","-0.011538406","-1.33535042","-4.177438723","-4.478368635","-6.989372643","6884.864063","6997.240869","7148.623663","7270.472611","NYSE"
"2010-02-08","6713.9","-0.515397501","0","-0.017746372","0.002361015","-0.011538406","0.003505659","-4.270396669","-3.737848766","-5.915078475","-7.953112147","6907.544966","7019.813592","7163.555241","7275.373843","NYSE"
"2010-02-09","6835.2","1.005616334","1","0.002361015","-0.011538406","0.003505659","-0.019790686","-2.842847396","-2.780661954","-4.598936452","-6.721072096","6950.577181","7052.015023","7181.908516","7281.016796","NYSE"
"2010-02-10","6819.1","0.007185908","2","-0.011538406","0.003505659","-0.019790686","-0.003098704","-3.690469465","-2.770410928","-4.935104766","-7.263504325","6976.216555","7074.837657","7196.059884","7285.497367","NYSE"
"2010-02-11","6898.7","-0.007806323","3","0.003505659","-0.019790686","-0.003098704","-0.00638382","-2.604754913","-1.937455579","-5.384499335","-6.304581075","7011.131345","7101.757411","7211.446002","7290.184778","NYSE"
"2010-02-12","6874.6","-0.028346521","4","-0.019790686","-0.003098704","-0.00638382","-0.000395302","-2.88055379","-3.185556557","-5.730545081","-6.480750918","7036.116088","7123.131875","7224.211145","7294.119298","NYSE"
"2010-02-16","7013.4","-0.454257581","1","-0.003098704","-0.00638382","-0.000395302","0.000663982","0.556304304","-1.718049327","-3.846997532","-5.565055812","7072.008552","7149.293125","7238.480987","7298.335572","NYSE"
"2010-02-17","7035.2","0.760773162","2","-0.00638382","-0.000395302","0.000663982","0.014896912","0.064005007","-1.807472748","-3.991702717","-5.872278937","7085.032675","7163.597664","7247.667966","7301.199246","NYSE"
"2010-02-18","7080.4","0.085412476","3","-0.000395302","0.000663982","0.014896912","-0.007979291","0.955314113","-1.292328282","-3.70994941","-4.87935945","7096.106602","7177.113208","7256.340128","7303.872606","NYSE"
"2010-02-19","7083.2","0.027985637","4","0.000663982","0.014896912","-0.007979291","0.002466707","0.6851457","-2.854086377","-3.798774939","-4.111332223","7099.596959","7187.293545","7263.521358","7306.118562","NYSE"
"2010-02-22","7078.5","0.00267256","0","0.014896912","-0.007979291","0.002466707","-0.003070362","-0.314049121","-2.934521769","-3.706978642","-4.589567327","7103.240727","7198.250761","7270.881413","7308.358949","NYSE"
"2010-02-23","6974.6","-0.025983039","1","-0.007979291","0.002466707","-0.003070362","-0.009266562","-2.2617713","-4.378941596","-6.087495119","-6.741723271","7108.738666","7210.856104","7278.733716","7310.669089","NYSE"
"2010-02-24","7030.7","-0.109128807","2","0.002466707","-0.003070362","-0.009266562","-0.004932735","-1.870280682","-4.053113528","-5.932486855","-5.09570476","7138.547259","7235.725168","7291.147337","7314.046668","NYSE"
"2010-02-25","7013.4","0.110652097","3","-0.003070362","-0.009266562","-0.004932735","-0.00400575","-2.226373534","-4.621117337","-5.779461551","-5.039536395","7162.513317","7257.306764","7301.777841","7316.894373","NYSE"
"2010-02-26","7035","-0.014976755","4","-0.009266562","-0.004932735","-0.00400575","-0.001171042","-3.51514819","-4.453408304","-4.763838687","-4.978659031","7195.649609","7282.98116","7313.548365","7319.944568","NYSE"
"2010-03-01","7100.8","-0.019085995","0","-0.004932735","-0.00400575","-0.001171042","-0.016211101","-2.628728145","-3.403618555","-4.288987734","-4.877493335","7231.349522","7309.084441","7324.917686","7322.808332","NYSE"
"2010-03-02","7136","0.022928041","1","-0.00400575","-0.001171042","-0.016211101","-0.000164553","-2.16616397","-3.914255322","-4.583623041","-4.352138539","7260.360527","7331.009118","7334.065346","7325.039572","NYSE"
"2010-03-03","7164.7","0.005159462","2","-0.001171042","-0.016211101","-0.000164553","-0.000205648","-2.224436044","-4.139628852","-3.286898302","-3.801122479","7287.9962","7351.536394","7342.149646","7326.939467","NYSE"
"2010-03-04","7173.1","-0.03140322","3","-0.016211101","-0.000164553","-0.000205648","-0.004598987","-2.449273786","-3.633994304","-2.877220537","-4.853428837","7315.395355","7371.203383","7349.392489","7328.570015","NYSE"
"2010-03-05","7291.3","-0.08377235","4","-0.000164553","-0.000205648","-0.004598987","-0.003467878","-0.972442923","-1.294182945","-1.51682965","-4.073201858","7347.016546","7392.056371","7356.588101","7330.132527","NYSE"
"2010-03-08","7292.5","-0.25569231","0","-0.000205648","-0.004598987","-0.003467878","-0.001317416","-0.795810094","-1.705081547","-2.30947501","-4.101572774","7359.398","7402.662304","7359.252921","7330.522804","NYSE"
"2010-03-09","7294","0.423806219","1","-0.004598987","-0.003467878","-0.001317416","0.001618827","-1.786796289","-2.47098465","-2.234374791","-3.342079457","7374.264222","7414.258336","7361.97753","7330.904943","NYSE"
"2010-03-10","7327.7","0.074871578","2","-0.003467878","-0.001317416","0.001618827","-0.010192952","-1.958764266","-1.08663373","-1.612556728","-3.140655361","7392.100716","7426.917109","7364.752123","7331.275847","NYSE"
"2010-03-11","7353.2","-0.052988906","3","-0.001317416","0.001618827","-0.010192952","-0.006341901","-1.214466119","-0.438691508","-2.464517841","-3.616416091","7406.411987","7437.361015","7366.264455","7331.311785","NYSE"
"2010-03-12","7362.9","0.248220768","4","0.001618827","-0.010192952","-0.006341901","0.00409748","-0.324899484","-0.549732563","-3.131208146","-3.649663692","7418.236873","7446.220069","7366.797698","7331.091803","NYSE"
"2010-03-15","7351","-0.223286092","0","-0.010192952","-0.006341901","0.00409748","0.00767575","-0.916565575","-1.525807446","-3.332281311","-3.762568077","7430.533955","7454.990603","7366.956788","7330.772122","NYSE"
"2010-03-16","7426.7","0.005819923","1","-0.006341901","0.00409748","0.00767575","-0.004326729","-0.696635824","-0.455721313","-1.58357849","-3.911243369","7448.208168","7465.936982","7367.608085","7330.568827","NYSE"
"2010-03-17","7474.1","0.050485495","2","0.00409748","0.00767575","-0.004326729","-0.007995935","0.889554818","0.353124413","-1.205504078","-3.181470783","7452.98776","7470.06719","7365.19617","7329.602685","NYSE"
"2010-03-18","7443.6","0.070799099","3","0.00767575","-0.004326729","-0.007995935","0.00952998","0.785311958","-1.265419817","-2.431479467","-1.85903014","7448.296152","7469.642684","7360.751116","7328.15045","NYSE"
"2010-03-19","7386.9","-0.044162856","4","-0.004326729","-0.007995935","0.00952998","0.003060009","-0.225565941","-2.815456064","-3.33560156","-2.760445462","7449.339741","7472.384019","7357.369529","7326.990153","NYSE"
"2010-03-22","7419","-0.062698594","0","-0.007995935","0.00952998","0.003060009","-0.00243125","-0.614877627","-2.438062175","-2.872329284","-3.261138856","7463.215239","7481.382337","7356.164204","7326.388044","NYSE"
"2010-03-23","7478.8","-0.124596119","1","0.00952998","0.003060009","-0.00243125","-0.008211764","0.242604581","-0.893164772","-3.237158753","-2.17013094","7473.040848","7487.948899","7353.599477","7325.457271","NYSE"
"2010-03-24","7408.2","-0.084551955","2","0.003060009","-0.00243125","-0.008211764","0.00056295","-0.531700636","-2.07658652","-4.035130899","-3.06955566","7471.761036","7488.911941","7348.489252","7323.916138","NYSE"
"2010-03-25","7385.6","0.119338489","3","-0.00243125","-0.008211764","0.00056295","0.001732055","-2.03475262","-3.191726416","-2.623737574","-4.103043523","7485.88571","7497.407935","7346.052078","7323.069064","NYSE"
"2010-03-26","7403.6","0.176292877","4","-0.008211764","0.00056295","0.001732055","-0.012097095","-2.595745241","-3.11706666","-2.540610273","-3.568823591","7508.171424","7509.177191","7344.437877","7322.440612","NYSE"
"2010-03-29","7464.9","-0.029369234","0","0.00056295","0.001732055","-0.012097095","-0.008143772","-1.834464258","-2.271418098","-2.662633164","0.024118664","7531.409518","7520.29058","7342.023097","7321.62494","NYSE"
"2010-03-30","7460.7","-0.029861274","1","0.001732055","-0.012097095","-0.008143772","-0.00046026","-1.133020593","-3.4713417","-2.406896281","-0.520020801","7546.189411","7526.121167","7337.007713","7320.18499","NYSE"
"2010-03-31","7447.8","-0.03655818","2","-0.012097095","-0.008143772","-0.00046026","0.007712491","-1.55314396","-3.522157597","-2.551420945","-1.864467079","7565.187058","7533.007606","7331.959048","7318.772779","NYSE"
"2010-04-01","7539","0.082709564","3","-0.008143772","-0.00046026","0.007712491","-0.002524685","-1.181004312","-0.601218258","-2.11124961","0.864283421","7591.273071","7541.976827","7327.230846","7317.476023","NYSE"
"2010-04-05","7600.9","-0.061589966","0","-0.00046026","0.007712491","-0.002524685","-0.008362716","-0.535214217","0.05660427","-0.999010107","0.766263207","7602.889309","7542.290177","7318.587207","7315.249651","NYSE"
"2010-04-06","7604.4","-0.104223057","1","0.007712491","-0.002524685","-0.008362716","-0.001661912","-0.445119397","-0.843645278","1.89331511","3.641716186","7603.331377","7536.120722","7307.064236","7312.378793","NYSE"
"2010-04-07","7546.2","-0.035762306","2","-0.002524685","-0.008362716","-0.001661912","0.000445119","-2.365118385","-1.288474368","0.620024801","3.970790851","7603.093906","7528.93343","7294.928083","7309.443907","NYSE"
"2010-04-08","7565.3","0.113093299","3","-0.008362716","-0.001661912","0.000445119","-0.011722086","-2.000077723","-1.014026273","-0.316234699","7.89229738","7615.736996","7527.115896","7284.672086","7307.064448","NYSE"
"2010-04-09","7629.1","0.184199916","4","-0.001661912","0.000445119","-0.011722086","0.00120471","0.586715186","-0.941362834","2.06973135","10.30768341","7626.945217","7523.096517","7273.217885","7304.469116","NYSE"
"2010-04-12","7641.8","-0.043475004","0","0.000445119","-0.011722086","0.00120471","0.017812409","0.595003028","-0.466291549","1.308480598","5.293761023","7626.466377","7511.938256","7258.692085","7301.206494","NYSE"
"2010-04-13","7638.4","-0.089415242","1","-0.011722086","0.00120471","0.017812409","-0.001579654","-0.400307728","2.348889872","4.105108216","5.770109531","7623.058905","7498.268598","7243.055027","7297.783444","NYSE"
