2026-05-11 16:48: Experiment log path in: ./saved_models/000300SH/
2026-05-11 16:48: Train Epoch 1: 0/85 Loss: 0.141008
2026-05-11 16:48: Train Epoch 1: 20/85 Loss: 0.007248
2026-05-11 16:48: Train Epoch 1: 40/85 Loss: 0.110385
2026-05-11 16:48: Train Epoch 1: 60/85 Loss: 0.003605
2026-05-11 16:48: Train Epoch 1: 80/85 Loss: 0.003806
2026-05-11 16:48: **********Train Epoch 1: averaged Loss: 0.017359
2026-05-11 16:48: **********Val Epoch 1: average Loss: 0.004750
2026-05-11 16:48: *********************************Current best model saved!
2026-05-11 16:48: Train Epoch 2: 0/85 Loss: 0.004328
2026-05-11 16:48: Train Epoch 2: 20/85 Loss: 0.002139
2026-05-11 16:48: Train Epoch 2: 40/85 Loss: 0.032851
2026-05-11 16:48: Train Epoch 2: 60/85 Loss: 0.003503
2026-05-11 16:48: Train Epoch 2: 80/85 Loss: 0.004123
2026-05-11 16:48: **********Train Epoch 2: averaged Loss: 0.006073
2026-05-11 16:48: **********Val Epoch 2: average Loss: 0.002322
2026-05-11 16:48: *********************************Current best model saved!
2026-05-11 16:48: Train Epoch 3: 0/85 Loss: 0.002495
2026-05-11 16:48: Train Epoch 3: 20/85 Loss: 0.003530
2026-05-11 16:48: Train Epoch 3: 40/85 Loss: 0.032606
2026-05-11 16:48: Train Epoch 3: 60/85 Loss: 0.006748
2026-05-11 16:48: Train Epoch 3: 80/85 Loss: 0.005826
2026-05-11 16:48: **********Train Epoch 3: averaged Loss: 0.005462
2026-05-11 16:48: **********Val Epoch 3: average Loss: 0.002655
2026-05-11 16:48: Train Epoch 4: 0/85 Loss: 0.002885
2026-05-11 16:48: Train Epoch 4: 20/85 Loss: 0.002077
2026-05-11 16:48: Train Epoch 4: 40/85 Loss: 0.027012
2026-05-11 16:48: Train Epoch 4: 60/85 Loss: 0.003682
2026-05-11 16:48: Train Epoch 4: 80/85 Loss: 0.003227
2026-05-11 16:48: **********Train Epoch 4: averaged Loss: 0.004963
2026-05-11 16:48: **********Val Epoch 4: average Loss: 0.002059
2026-05-11 16:48: *********************************Current best model saved!
2026-05-11 16:48: Train Epoch 5: 0/85 Loss: 0.002491
2026-05-11 16:48: Train Epoch 5: 20/85 Loss: 0.004855
2026-05-11 16:48: Train Epoch 5: 40/85 Loss: 0.034543
2026-05-11 16:48: Train Epoch 5: 60/85 Loss: 0.006861
2026-05-11 16:48: Train Epoch 5: 80/85 Loss: 0.002701
2026-05-11 16:48: **********Train Epoch 5: averaged Loss: 0.005232
2026-05-11 16:48: **********Val Epoch 5: average Loss: 0.002134
2026-05-11 16:48: Train Epoch 6: 0/85 Loss: 0.002824
2026-05-11 16:48: Train Epoch 6: 20/85 Loss: 0.001729
2026-05-11 16:48: Train Epoch 6: 40/85 Loss: 0.030362
2026-05-11 16:48: Train Epoch 6: 60/85 Loss: 0.005731
2026-05-11 16:48: Train Epoch 6: 80/85 Loss: 0.002579
2026-05-11 16:48: **********Train Epoch 6: averaged Loss: 0.005751
2026-05-11 16:48: **********Val Epoch 6: average Loss: 0.002846
2026-05-11 16:48: Train Epoch 7: 0/85 Loss: 0.002907
2026-05-11 16:48: Train Epoch 7: 20/85 Loss: 0.002051
2026-05-11 16:48: Train Epoch 7: 40/85 Loss: 0.028987
2026-05-11 16:48: Train Epoch 7: 60/85 Loss: 0.003892
2026-05-11 16:48: Train Epoch 7: 80/85 Loss: 0.002886
2026-05-11 16:48: **********Train Epoch 7: averaged Loss: 0.004949
2026-05-11 16:48: **********Val Epoch 7: average Loss: 0.002103
2026-05-11 16:48: Train Epoch 8: 0/85 Loss: 0.002907
2026-05-11 16:48: Train Epoch 8: 20/85 Loss: 0.001943
2026-05-11 16:48: Train Epoch 8: 40/85 Loss: 0.029290
2026-05-11 16:48: Train Epoch 8: 60/85 Loss: 0.003938
2026-05-11 16:49: Train Epoch 8: 80/85 Loss: 0.003089
2026-05-11 16:49: **********Train Epoch 8: averaged Loss: 0.004762
2026-05-11 16:49: **********Val Epoch 8: average Loss: 0.002154
2026-05-11 16:49: Train Epoch 9: 0/85 Loss: 0.002496
2026-05-11 16:49: Train Epoch 9: 20/85 Loss: 0.001832
2026-05-11 16:49: Train Epoch 9: 40/85 Loss: 0.028641
2026-05-11 16:49: Train Epoch 9: 60/85 Loss: 0.004130
2026-05-11 16:49: Train Epoch 9: 80/85 Loss: 0.002607
2026-05-11 16:49: **********Train Epoch 9: averaged Loss: 0.005052
2026-05-11 16:49: **********Val Epoch 9: average Loss: 0.003893
2026-05-11 16:49: Train Epoch 10: 0/85 Loss: 0.004150
2026-05-11 16:49: Train Epoch 10: 20/85 Loss: 0.001658
2026-05-11 16:49: Train Epoch 10: 40/85 Loss: 0.027484
2026-05-11 16:49: Train Epoch 10: 60/85 Loss: 0.004887
2026-05-11 16:49: Train Epoch 10: 80/85 Loss: 0.002620
2026-05-11 16:49: **********Train Epoch 10: averaged Loss: 0.004701
2026-05-11 16:49: **********Val Epoch 10: average Loss: 0.002186
2026-05-11 16:49: Train Epoch 11: 0/85 Loss: 0.003112
2026-05-11 16:49: Train Epoch 11: 20/85 Loss: 0.001749
2026-05-11 16:49: Train Epoch 11: 40/85 Loss: 0.027879
2026-05-11 16:49: Train Epoch 11: 60/85 Loss: 0.004020
2026-05-11 16:49: Train Epoch 11: 80/85 Loss: 0.003089
2026-05-11 16:49: **********Train Epoch 11: averaged Loss: 0.004803
2026-05-11 16:49: **********Val Epoch 11: average Loss: 0.003609
2026-05-11 16:49: Train Epoch 12: 0/85 Loss: 0.004562
2026-05-11 16:49: Train Epoch 12: 20/85 Loss: 0.002036
2026-05-11 16:49: Train Epoch 12: 40/85 Loss: 0.030124
2026-05-11 16:49: Train Epoch 12: 60/85 Loss: 0.004592
2026-05-11 16:49: Train Epoch 12: 80/85 Loss: 0.002686
2026-05-11 16:49: **********Train Epoch 12: averaged Loss: 0.004793
2026-05-11 16:49: **********Val Epoch 12: average Loss: 0.002169
2026-05-11 16:49: Train Epoch 13: 0/85 Loss: 0.002356
2026-05-11 16:49: Train Epoch 13: 20/85 Loss: 0.001700
2026-05-11 16:49: Train Epoch 13: 40/85 Loss: 0.028048
2026-05-11 16:49: Train Epoch 13: 60/85 Loss: 0.004504
2026-05-11 16:49: Train Epoch 13: 80/85 Loss: 0.002536
2026-05-11 16:49: **********Train Epoch 13: averaged Loss: 0.004545
2026-05-11 16:49: **********Val Epoch 13: average Loss: 0.002617
2026-05-11 16:49: Train Epoch 14: 0/85 Loss: 0.002869
2026-05-11 16:49: Train Epoch 14: 20/85 Loss: 0.001750
2026-05-11 16:49: Train Epoch 14: 40/85 Loss: 0.029021
2026-05-11 16:49: Train Epoch 14: 60/85 Loss: 0.004226
2026-05-11 16:49: Train Epoch 14: 80/85 Loss: 0.002925
2026-05-11 16:49: **********Train Epoch 14: averaged Loss: 0.004827
2026-05-11 16:49: **********Val Epoch 14: average Loss: 0.003108
2026-05-11 16:49: Train Epoch 15: 0/85 Loss: 0.004992
2026-05-11 16:49: Train Epoch 15: 20/85 Loss: 0.002208
2026-05-11 16:49: Train Epoch 15: 40/85 Loss: 0.025749
2026-05-11 16:49: Train Epoch 15: 60/85 Loss: 0.004164
2026-05-11 16:49: Train Epoch 15: 80/85 Loss: 0.002524
2026-05-11 16:49: **********Train Epoch 15: averaged Loss: 0.004799
2026-05-11 16:49: **********Val Epoch 15: average Loss: 0.002330
2026-05-11 16:49: Train Epoch 16: 0/85 Loss: 0.002382
2026-05-11 16:49: Train Epoch 16: 20/85 Loss: 0.001793
2026-05-11 16:49: Train Epoch 16: 40/85 Loss: 0.026644
2026-05-11 16:49: Train Epoch 16: 60/85 Loss: 0.004182
2026-05-11 16:49: Train Epoch 16: 80/85 Loss: 0.002867
2026-05-11 16:49: **********Train Epoch 16: averaged Loss: 0.004726
2026-05-11 16:49: **********Val Epoch 16: average Loss: 0.002702
2026-05-11 16:49: Train Epoch 17: 0/85 Loss: 0.002733
2026-05-11 16:49: Train Epoch 17: 20/85 Loss: 0.001676
2026-05-11 16:49: Train Epoch 17: 40/85 Loss: 0.025097
2026-05-11 16:49: Train Epoch 17: 60/85 Loss: 0.004309
2026-05-11 16:49: Train Epoch 17: 80/85 Loss: 0.002507
2026-05-11 16:49: **********Train Epoch 17: averaged Loss: 0.004442
2026-05-11 16:49: **********Val Epoch 17: average Loss: 0.002141
2026-05-11 16:49: Train Epoch 18: 0/85 Loss: 0.002391
2026-05-11 16:49: Train Epoch 18: 20/85 Loss: 0.002434
2026-05-11 16:49: Train Epoch 18: 40/85 Loss: 0.026479
2026-05-11 16:49: Train Epoch 18: 60/85 Loss: 0.004571
2026-05-11 16:49: Train Epoch 18: 80/85 Loss: 0.003124
2026-05-11 16:49: **********Train Epoch 18: averaged Loss: 0.004498
2026-05-11 16:49: **********Val Epoch 18: average Loss: 0.002331
2026-05-11 16:49: Train Epoch 19: 0/85 Loss: 0.002747
2026-05-11 16:49: Train Epoch 19: 20/85 Loss: 0.001996
2026-05-11 16:49: Train Epoch 19: 40/85 Loss: 0.025300
2026-05-11 16:49: Train Epoch 19: 60/85 Loss: 0.004027
2026-05-11 16:49: Train Epoch 19: 80/85 Loss: 0.002792
2026-05-11 16:49: **********Train Epoch 19: averaged Loss: 0.004679
2026-05-11 16:49: **********Val Epoch 19: average Loss: 0.002741
2026-05-11 16:49: Train Epoch 20: 0/85 Loss: 0.003890
2026-05-11 16:49: Train Epoch 20: 20/85 Loss: 0.001740
2026-05-11 16:49: Train Epoch 20: 40/85 Loss: 0.026398
2026-05-11 16:49: Train Epoch 20: 60/85 Loss: 0.004149
2026-05-11 16:49: Train Epoch 20: 80/85 Loss: 0.002602
2026-05-11 16:49: **********Train Epoch 20: averaged Loss: 0.004950
2026-05-11 16:49: **********Val Epoch 20: average Loss: 0.002816
2026-05-11 16:49: Train Epoch 21: 0/85 Loss: 0.003354
2026-05-11 16:49: Train Epoch 21: 20/85 Loss: 0.001695
2026-05-11 16:49: Train Epoch 21: 40/85 Loss: 0.024474
2026-05-11 16:49: Train Epoch 21: 60/85 Loss: 0.004405
2026-05-11 16:49: Train Epoch 21: 80/85 Loss: 0.002743
2026-05-11 16:49: **********Train Epoch 21: averaged Loss: 0.004565
2026-05-11 16:49: **********Val Epoch 21: average Loss: 0.002549
2026-05-11 16:49: Train Epoch 22: 0/85 Loss: 0.003024
2026-05-11 16:49: Train Epoch 22: 20/85 Loss: 0.001675
2026-05-11 16:49: Train Epoch 22: 40/85 Loss: 0.025042
2026-05-11 16:49: Train Epoch 22: 60/85 Loss: 0.004428
2026-05-11 16:49: Train Epoch 22: 80/85 Loss: 0.002527
2026-05-11 16:49: **********Train Epoch 22: averaged Loss: 0.004471
2026-05-11 16:49: **********Val Epoch 22: average Loss: 0.002476
2026-05-11 16:49: Train Epoch 23: 0/85 Loss: 0.003194
2026-05-11 16:49: Train Epoch 23: 20/85 Loss: 0.001979
2026-05-11 16:49: Train Epoch 23: 40/85 Loss: 0.024209
2026-05-11 16:49: Train Epoch 23: 60/85 Loss: 0.004280
2026-05-11 16:49: Train Epoch 23: 80/85 Loss: 0.002498
2026-05-11 16:49: **********Train Epoch 23: averaged Loss: 0.004532
2026-05-11 16:49: **********Val Epoch 23: average Loss: 0.002426
2026-05-11 16:49: Train Epoch 24: 0/85 Loss: 0.002493
2026-05-11 16:49: Train Epoch 24: 20/85 Loss: 0.001896
2026-05-11 16:49: Train Epoch 24: 40/85 Loss: 0.023294
2026-05-11 16:49: Train Epoch 24: 60/85 Loss: 0.004199
2026-05-11 16:49: Train Epoch 24: 80/85 Loss: 0.002540
2026-05-11 16:49: **********Train Epoch 24: averaged Loss: 0.004608
2026-05-11 16:49: **********Val Epoch 24: average Loss: 0.002796
2026-05-11 16:49: Train Epoch 25: 0/85 Loss: 0.002849
2026-05-11 16:49: Train Epoch 25: 20/85 Loss: 0.001832
2026-05-11 16:50: Train Epoch 25: 40/85 Loss: 0.022108
2026-05-11 16:50: Train Epoch 25: 60/85 Loss: 0.004321
2026-05-11 16:50: Train Epoch 25: 80/85 Loss: 0.002581
2026-05-11 16:50: **********Train Epoch 25: averaged Loss: 0.004382
2026-05-11 16:50: **********Val Epoch 25: average Loss: 0.002624
2026-05-11 16:50: Train Epoch 26: 0/85 Loss: 0.002464
2026-05-11 16:50: Train Epoch 26: 20/85 Loss: 0.002009
2026-05-11 16:50: Train Epoch 26: 40/85 Loss: 0.022840
2026-05-11 16:50: Train Epoch 26: 60/85 Loss: 0.005045
2026-05-11 16:50: Train Epoch 26: 80/85 Loss: 0.002554
2026-05-11 16:50: **********Train Epoch 26: averaged Loss: 0.004709
2026-05-11 16:50: **********Val Epoch 26: average Loss: 0.002429
2026-05-11 16:50: Train Epoch 27: 0/85 Loss: 0.002229
2026-05-11 16:50: Train Epoch 27: 20/85 Loss: 0.001733
2026-05-11 16:50: Train Epoch 27: 40/85 Loss: 0.021537
2026-05-11 16:50: Train Epoch 27: 60/85 Loss: 0.004388
2026-05-11 16:50: Train Epoch 27: 80/85 Loss: 0.002542
2026-05-11 16:50: **********Train Epoch 27: averaged Loss: 0.004337
2026-05-11 16:50: **********Val Epoch 27: average Loss: 0.002271
2026-05-11 16:50: Train Epoch 28: 0/85 Loss: 0.003056
2026-05-11 16:50: Train Epoch 28: 20/85 Loss: 0.001738
2026-05-11 16:50: Train Epoch 28: 40/85 Loss: 0.021388
2026-05-11 16:50: Train Epoch 28: 60/85 Loss: 0.004587
2026-05-11 16:50: Train Epoch 28: 80/85 Loss: 0.002503
2026-05-11 16:50: **********Train Epoch 28: averaged Loss: 0.004525
2026-05-11 16:50: **********Val Epoch 28: average Loss: 0.002928
2026-05-11 16:50: Train Epoch 29: 0/85 Loss: 0.003214
2026-05-11 16:50: Train Epoch 29: 20/85 Loss: 0.001664
2026-05-11 16:50: Train Epoch 29: 40/85 Loss: 0.020610
2026-05-11 16:50: Train Epoch 29: 60/85 Loss: 0.004397
2026-05-11 16:50: Train Epoch 29: 80/85 Loss: 0.002506
2026-05-11 16:50: **********Train Epoch 29: averaged Loss: 0.004482
2026-05-11 16:50: **********Val Epoch 29: average Loss: 0.002456
2026-05-11 16:50: Train Epoch 30: 0/85 Loss: 0.003723
2026-05-11 16:50: Train Epoch 30: 20/85 Loss: 0.001956
2026-05-11 16:50: Train Epoch 30: 40/85 Loss: 0.018409
2026-05-11 16:50: Train Epoch 30: 60/85 Loss: 0.004362
2026-05-11 16:50: Train Epoch 30: 80/85 Loss: 0.002543
2026-05-11 16:50: **********Train Epoch 30: averaged Loss: 0.004331
2026-05-11 16:50: **********Val Epoch 30: average Loss: 0.002381
2026-05-11 16:50: Train Epoch 31: 0/85 Loss: 0.002296
2026-05-11 16:50: Train Epoch 31: 20/85 Loss: 0.001657
2026-05-11 16:50: Train Epoch 31: 40/85 Loss: 0.018169
2026-05-11 16:50: Train Epoch 31: 60/85 Loss: 0.004240
2026-05-11 16:50: Train Epoch 31: 80/85 Loss: 0.002590
2026-05-11 16:50: **********Train Epoch 31: averaged Loss: 0.004447
2026-05-11 16:50: **********Val Epoch 31: average Loss: 0.002947
2026-05-11 16:50: Train Epoch 32: 0/85 Loss: 0.002770
2026-05-11 16:50: Train Epoch 32: 20/85 Loss: 0.001713
2026-05-11 16:50: Train Epoch 32: 40/85 Loss: 0.016744
2026-05-11 16:50: Train Epoch 32: 60/85 Loss: 0.004302
2026-05-11 16:50: Train Epoch 32: 80/85 Loss: 0.002648
2026-05-11 16:50: **********Train Epoch 32: averaged Loss: 0.004415
2026-05-11 16:50: **********Val Epoch 32: average Loss: 0.002657
2026-05-11 16:50: Train Epoch 33: 0/85 Loss: 0.003381
2026-05-11 16:50: Train Epoch 33: 20/85 Loss: 0.001773
2026-05-11 16:50: Train Epoch 33: 40/85 Loss: 0.016995
2026-05-11 16:50: Train Epoch 33: 60/85 Loss: 0.004729
2026-05-11 16:50: Train Epoch 33: 80/85 Loss: 0.002830
2026-05-11 16:50: **********Train Epoch 33: averaged Loss: 0.004323
2026-05-11 16:50: **********Val Epoch 33: average Loss: 0.002567
2026-05-11 16:50: Train Epoch 34: 0/85 Loss: 0.002602
2026-05-11 16:50: Train Epoch 34: 20/85 Loss: 0.001923
2026-05-11 16:50: Train Epoch 34: 40/85 Loss: 0.014130
2026-05-11 16:50: Train Epoch 34: 60/85 Loss: 0.004271
2026-05-11 16:50: Train Epoch 34: 80/85 Loss: 0.002547
2026-05-11 16:50: **********Train Epoch 34: averaged Loss: 0.004401
2026-05-11 16:50: **********Val Epoch 34: average Loss: 0.002833
2026-05-11 16:50: Train Epoch 35: 0/85 Loss: 0.002645
2026-05-11 16:50: Train Epoch 35: 20/85 Loss: 0.001815
2026-05-11 16:50: Train Epoch 35: 40/85 Loss: 0.013552
2026-05-11 16:50: Train Epoch 35: 60/85 Loss: 0.004785
2026-05-11 16:50: Train Epoch 35: 80/85 Loss: 0.002545
2026-05-11 16:50: **********Train Epoch 35: averaged Loss: 0.004297
2026-05-11 16:50: **********Val Epoch 35: average Loss: 0.002320
2026-05-11 16:50: Train Epoch 36: 0/85 Loss: 0.002284
2026-05-11 16:50: Train Epoch 36: 20/85 Loss: 0.001992
2026-05-11 16:50: Train Epoch 36: 40/85 Loss: 0.012996
2026-05-11 16:50: Train Epoch 36: 60/85 Loss: 0.004294
2026-05-11 16:50: Train Epoch 36: 80/85 Loss: 0.002620
2026-05-11 16:50: **********Train Epoch 36: averaged Loss: 0.004209
2026-05-11 16:50: **********Val Epoch 36: average Loss: 0.002486
2026-05-11 16:50: Train Epoch 37: 0/85 Loss: 0.002240
2026-05-11 16:50: Train Epoch 37: 20/85 Loss: 0.001965
2026-05-11 16:50: Train Epoch 37: 40/85 Loss: 0.011494
2026-05-11 16:50: Train Epoch 37: 60/85 Loss: 0.005222
2026-05-11 16:50: Train Epoch 37: 80/85 Loss: 0.002602
2026-05-11 16:50: **********Train Epoch 37: averaged Loss: 0.004153
2026-05-11 16:50: **********Val Epoch 37: average Loss: 0.002861
2026-05-11 16:50: Train Epoch 38: 0/85 Loss: 0.002474
2026-05-11 16:50: Train Epoch 38: 20/85 Loss: 0.001754
2026-05-11 16:50: Train Epoch 38: 40/85 Loss: 0.011535
2026-05-11 16:50: Train Epoch 38: 60/85 Loss: 0.004203
2026-05-11 16:50: Train Epoch 38: 80/85 Loss: 0.002799
2026-05-11 16:50: **********Train Epoch 38: averaged Loss: 0.004259
2026-05-11 16:50: **********Val Epoch 38: average Loss: 0.002366
2026-05-11 16:50: Train Epoch 39: 0/85 Loss: 0.002533
2026-05-11 16:50: Train Epoch 39: 20/85 Loss: 0.001662
2026-05-11 16:50: Train Epoch 39: 40/85 Loss: 0.010763
2026-05-11 16:50: Train Epoch 39: 60/85 Loss: 0.005318
2026-05-11 16:50: Train Epoch 39: 80/85 Loss: 0.002814
2026-05-11 16:50: **********Train Epoch 39: averaged Loss: 0.004075
2026-05-11 16:50: **********Val Epoch 39: average Loss: 0.002653
2026-05-11 16:50: Train Epoch 40: 0/85 Loss: 0.002684
2026-05-11 16:50: Train Epoch 40: 20/85 Loss: 0.001814
2026-05-11 16:50: Train Epoch 40: 40/85 Loss: 0.009969
2026-05-11 16:50: Train Epoch 40: 60/85 Loss: 0.004294
2026-05-11 16:50: Train Epoch 40: 80/85 Loss: 0.003149
2026-05-11 16:50: **********Train Epoch 40: averaged Loss: 0.004230
2026-05-11 16:50: **********Val Epoch 40: average Loss: 0.002575
2026-05-11 16:50: Train Epoch 41: 0/85 Loss: 0.002589
2026-05-11 16:50: Train Epoch 41: 20/85 Loss: 0.001741
2026-05-11 16:50: Train Epoch 41: 40/85 Loss: 0.017608
2026-05-11 16:51: Train Epoch 41: 60/85 Loss: 0.004370
2026-05-11 16:51: Train Epoch 41: 80/85 Loss: 0.002671
2026-05-11 16:51: **********Train Epoch 41: averaged Loss: 0.004137
2026-05-11 16:51: **********Val Epoch 41: average Loss: 0.002324
2026-05-11 16:51: Train Epoch 42: 0/85 Loss: 0.002471
2026-05-11 16:51: Train Epoch 42: 20/85 Loss: 0.001662
2026-05-11 16:51: Train Epoch 42: 40/85 Loss: 0.012233
2026-05-11 16:51: Train Epoch 42: 60/85 Loss: 0.004445
2026-05-11 16:51: Train Epoch 42: 80/85 Loss: 0.002565
2026-05-11 16:51: **********Train Epoch 42: averaged Loss: 0.004275
2026-05-11 16:51: **********Val Epoch 42: average Loss: 0.002360
2026-05-11 16:51: Train Epoch 43: 0/85 Loss: 0.002393
2026-05-11 16:51: Train Epoch 43: 20/85 Loss: 0.001780
2026-05-11 16:51: Train Epoch 43: 40/85 Loss: 0.011344
2026-05-11 16:51: Train Epoch 43: 60/85 Loss: 0.004598
2026-05-11 16:51: Train Epoch 43: 80/85 Loss: 0.002946
2026-05-11 16:51: **********Train Epoch 43: averaged Loss: 0.004058
2026-05-11 16:51: **********Val Epoch 43: average Loss: 0.002518
2026-05-11 16:51: Train Epoch 44: 0/85 Loss: 0.002293
2026-05-11 16:51: Train Epoch 44: 20/85 Loss: 0.001786
2026-05-11 16:51: Train Epoch 44: 40/85 Loss: 0.009344
2026-05-11 16:51: Train Epoch 44: 60/85 Loss: 0.004545
2026-05-11 16:51: Train Epoch 44: 80/85 Loss: 0.003045
2026-05-11 16:51: **********Train Epoch 44: averaged Loss: 0.004106
2026-05-11 16:51: **********Val Epoch 44: average Loss: 0.002752
2026-05-11 16:51: Train Epoch 45: 0/85 Loss: 0.002469
2026-05-11 16:51: Train Epoch 45: 20/85 Loss: 0.001793
2026-05-11 16:51: Train Epoch 45: 40/85 Loss: 0.008698
2026-05-11 16:51: Train Epoch 45: 60/85 Loss: 0.003912
2026-05-11 16:51: Train Epoch 45: 80/85 Loss: 0.002945
2026-05-11 16:51: **********Train Epoch 45: averaged Loss: 0.003904
