2026-05-20 13:49: Experiment log path in: /root/data-tmp/zzh/SAMBA/SAMBA/saved_models/002129SZ_BASIC/
2026-05-20 13:49: Train Epoch 1: 0/71 Loss: 1.433589
2026-05-20 13:49: Train Epoch 1: 20/71 Loss: 0.072057
2026-05-20 13:49: Train Epoch 1: 40/71 Loss: 0.167813
2026-05-20 13:49: Train Epoch 1: 60/71 Loss: 0.105305
2026-05-20 13:49: **********Train Epoch 1: averaged Loss: 0.233608
2026-05-20 13:49: **********Val Epoch 1: average Loss: 0.133981
2026-05-20 13:49: *********************************Current best model saved!
2026-05-20 13:49: Train Epoch 2: 0/71 Loss: 0.069387
2026-05-20 13:49: Train Epoch 2: 20/71 Loss: 0.002575
2026-05-20 13:50: Train Epoch 2: 40/71 Loss: 0.049482
2026-05-20 13:50: Train Epoch 2: 60/71 Loss: 0.066681
2026-05-20 13:50: **********Train Epoch 2: averaged Loss: 0.127402
2026-05-20 13:50: **********Val Epoch 2: average Loss: 0.142257
2026-05-20 13:50: Train Epoch 3: 0/71 Loss: 0.180772
2026-05-20 13:50: Train Epoch 3: 20/71 Loss: 0.110880
2026-05-20 13:50: Train Epoch 3: 40/71 Loss: 0.282397
2026-05-20 13:50: Train Epoch 3: 60/71 Loss: 0.045912
2026-05-20 13:50: **********Train Epoch 3: averaged Loss: 0.122605
2026-05-20 13:50: **********Val Epoch 3: average Loss: 0.079008
2026-05-20 13:50: *********************************Current best model saved!
2026-05-20 13:50: Train Epoch 4: 0/71 Loss: 0.058110
2026-05-20 13:50: Train Epoch 4: 20/71 Loss: 0.030622
2026-05-20 13:50: Train Epoch 4: 40/71 Loss: 0.139762
2026-05-20 13:50: Train Epoch 4: 60/71 Loss: 0.153568
2026-05-20 13:50: **********Train Epoch 4: averaged Loss: 0.101182
2026-05-20 13:50: **********Val Epoch 4: average Loss: 0.074331
2026-05-20 13:50: *********************************Current best model saved!
2026-05-20 13:50: Train Epoch 5: 0/71 Loss: 0.311593
2026-05-20 13:50: Train Epoch 5: 20/71 Loss: 0.019354
2026-05-20 13:50: Train Epoch 5: 40/71 Loss: 0.175139
2026-05-20 13:50: Train Epoch 5: 60/71 Loss: 0.020924
2026-05-20 13:50: **********Train Epoch 5: averaged Loss: 0.090854
2026-05-20 13:50: **********Val Epoch 5: average Loss: 0.120331
2026-05-20 13:50: Train Epoch 6: 0/71 Loss: 0.192170
2026-05-20 13:50: Train Epoch 6: 20/71 Loss: 0.051517
2026-05-20 13:50: Train Epoch 6: 40/71 Loss: 0.024195
2026-05-20 13:50: Train Epoch 6: 60/71 Loss: 0.104749
2026-05-20 13:50: **********Train Epoch 6: averaged Loss: 0.082254
2026-05-20 13:50: **********Val Epoch 6: average Loss: 0.086056
2026-05-20 13:50: Train Epoch 7: 0/71 Loss: 0.177219
2026-05-20 13:50: Train Epoch 7: 20/71 Loss: 0.104194
2026-05-20 13:50: Train Epoch 7: 40/71 Loss: 0.145641
2026-05-20 13:50: Train Epoch 7: 60/71 Loss: 0.027264
2026-05-20 13:50: **********Train Epoch 7: averaged Loss: 0.073521
2026-05-20 13:50: **********Val Epoch 7: average Loss: 0.134007
2026-05-20 13:50: Train Epoch 8: 0/71 Loss: 0.202702
2026-05-20 13:50: Train Epoch 8: 20/71 Loss: 0.031886
2026-05-20 13:50: Train Epoch 8: 40/71 Loss: 0.125413
2026-05-20 13:50: Train Epoch 8: 60/71 Loss: 0.047023
2026-05-20 13:50: **********Train Epoch 8: averaged Loss: 0.075428
2026-05-20 13:50: **********Val Epoch 8: average Loss: 0.083796
2026-05-20 13:50: Train Epoch 9: 0/71 Loss: 0.233275
2026-05-20 13:50: Train Epoch 9: 20/71 Loss: 0.068648
2026-05-20 13:50: Train Epoch 9: 40/71 Loss: 0.009032
2026-05-20 13:50: Train Epoch 9: 60/71 Loss: 0.056603
2026-05-20 13:50: **********Train Epoch 9: averaged Loss: 0.076597
2026-05-20 13:50: **********Val Epoch 9: average Loss: 0.123531
2026-05-20 13:50: Train Epoch 10: 0/71 Loss: 0.211144
2026-05-20 13:50: Train Epoch 10: 20/71 Loss: 0.044666
2026-05-20 13:50: Train Epoch 10: 40/71 Loss: 0.121459
2026-05-20 13:50: Train Epoch 10: 60/71 Loss: 0.027037
2026-05-20 13:50: **********Train Epoch 10: averaged Loss: 0.059916
2026-05-20 13:50: **********Val Epoch 10: average Loss: 0.088565
2026-05-20 13:50: Train Epoch 11: 0/71 Loss: 0.237165
2026-05-20 13:50: Train Epoch 11: 20/71 Loss: 0.037704
2026-05-20 13:50: Train Epoch 11: 40/71 Loss: 0.164295
2026-05-20 13:50: Train Epoch 11: 60/71 Loss: 0.014773
2026-05-20 13:50: **********Train Epoch 11: averaged Loss: 0.069408
2026-05-20 13:50: **********Val Epoch 11: average Loss: 0.124390
2026-05-20 13:50: Train Epoch 12: 0/71 Loss: 0.164616
2026-05-20 13:50: Train Epoch 12: 20/71 Loss: 0.068576
2026-05-20 13:50: Train Epoch 12: 40/71 Loss: 0.098726
2026-05-20 13:50: Train Epoch 12: 60/71 Loss: 0.092262
2026-05-20 13:50: **********Train Epoch 12: averaged Loss: 0.070369
2026-05-20 13:50: **********Val Epoch 12: average Loss: 0.123121
2026-05-20 13:50: Train Epoch 13: 0/71 Loss: 0.136611
2026-05-20 13:50: Train Epoch 13: 20/71 Loss: 0.036523
2026-05-20 13:50: Train Epoch 13: 40/71 Loss: 0.042871
2026-05-20 13:50: Train Epoch 13: 60/71 Loss: 0.014452
2026-05-20 13:50: **********Train Epoch 13: averaged Loss: 0.050669
2026-05-20 13:50: **********Val Epoch 13: average Loss: 0.092438
2026-05-20 13:50: Train Epoch 14: 0/71 Loss: 0.148155
2026-05-20 13:50: Train Epoch 14: 20/71 Loss: 0.016930
2026-05-20 13:50: Train Epoch 14: 40/71 Loss: 0.050422
2026-05-20 13:50: Train Epoch 14: 60/71 Loss: 0.048094
2026-05-20 13:50: **********Train Epoch 14: averaged Loss: 0.064469
2026-05-20 13:50: **********Val Epoch 14: average Loss: 0.113304
2026-05-20 13:50: Train Epoch 15: 0/71 Loss: 0.184576
2026-05-20 13:50: Train Epoch 15: 20/71 Loss: 0.145429
2026-05-20 13:50: Train Epoch 15: 40/71 Loss: 0.012067
2026-05-20 13:50: Train Epoch 15: 60/71 Loss: 0.095052
2026-05-20 13:50: **********Train Epoch 15: averaged Loss: 0.070205
2026-05-20 13:50: **********Val Epoch 15: average Loss: 0.084225
2026-05-20 13:50: Train Epoch 16: 0/71 Loss: 0.271604
2026-05-20 13:50: Train Epoch 16: 20/71 Loss: 0.017979
2026-05-20 13:50: Train Epoch 16: 40/71 Loss: 0.067917
2026-05-20 13:50: Train Epoch 16: 60/71 Loss: 0.026299
2026-05-20 13:50: **********Train Epoch 16: averaged Loss: 0.062383
2026-05-20 13:50: **********Val Epoch 16: average Loss: 0.127954
2026-05-20 13:50: Train Epoch 17: 0/71 Loss: 0.155711
2026-05-20 13:50: Train Epoch 17: 20/71 Loss: 0.026649
2026-05-20 13:50: Train Epoch 17: 40/71 Loss: 0.101066
2026-05-20 13:50: Train Epoch 17: 60/71 Loss: 0.015859
2026-05-20 13:50: **********Train Epoch 17: averaged Loss: 0.067247
2026-05-20 13:50: **********Val Epoch 17: average Loss: 0.132145
2026-05-20 13:50: Train Epoch 18: 0/71 Loss: 0.095903
2026-05-20 13:50: Train Epoch 18: 20/71 Loss: 0.013580
2026-05-20 13:50: Train Epoch 18: 40/71 Loss: 0.127768
2026-05-20 13:50: Train Epoch 18: 60/71 Loss: 0.037658
2026-05-20 13:50: **********Train Epoch 18: averaged Loss: 0.049400
2026-05-20 13:50: **********Val Epoch 18: average Loss: 0.111637
2026-05-20 13:50: Train Epoch 19: 0/71 Loss: 0.184510
2026-05-20 13:50: Train Epoch 19: 20/71 Loss: 0.006844
2026-05-20 13:50: Train Epoch 19: 40/71 Loss: 0.038271
2026-05-20 13:50: Train Epoch 19: 60/71 Loss: 0.032843
2026-05-20 13:50: **********Train Epoch 19: averaged Loss: 0.041923
2026-05-20 13:50: **********Val Epoch 19: average Loss: 0.107070
2026-05-20 13:50: Train Epoch 20: 0/71 Loss: 0.174577
2026-05-20 13:50: Train Epoch 20: 20/71 Loss: 0.061042
2026-05-20 13:50: Train Epoch 20: 40/71 Loss: 0.116686
2026-05-20 13:50: Train Epoch 20: 60/71 Loss: 0.016754
2026-05-20 13:51: **********Train Epoch 20: averaged Loss: 0.050564
2026-05-20 13:51: **********Val Epoch 20: average Loss: 0.132746
2026-05-20 13:51: Train Epoch 21: 0/71 Loss: 0.149988
2026-05-20 13:51: Train Epoch 21: 20/71 Loss: 0.006222
2026-05-20 13:51: Train Epoch 21: 40/71 Loss: 0.044699
2026-05-20 13:51: Train Epoch 21: 60/71 Loss: 0.070865
2026-05-20 13:51: **********Train Epoch 21: averaged Loss: 0.050929
2026-05-20 13:51: **********Val Epoch 21: average Loss: 0.086575
2026-05-20 13:51: Train Epoch 22: 0/71 Loss: 0.262560
2026-05-20 13:51: Train Epoch 22: 20/71 Loss: 0.030669
2026-05-20 13:51: Train Epoch 22: 40/71 Loss: 0.111315
2026-05-20 13:51: Train Epoch 22: 60/71 Loss: 0.126266
2026-05-20 13:51: **********Train Epoch 22: averaged Loss: 0.072937
2026-05-20 13:51: **********Val Epoch 22: average Loss: 0.106548
2026-05-20 13:51: Train Epoch 23: 0/71 Loss: 0.162157
2026-05-20 13:51: Train Epoch 23: 20/71 Loss: 0.005298
2026-05-20 13:51: Train Epoch 23: 40/71 Loss: 0.097206
2026-05-20 13:51: Train Epoch 23: 60/71 Loss: 0.033020
2026-05-20 13:51: **********Train Epoch 23: averaged Loss: 0.049131
2026-05-20 13:51: **********Val Epoch 23: average Loss: 0.118911
2026-05-20 13:51: Train Epoch 24: 0/71 Loss: 0.177934
2026-05-20 13:51: Train Epoch 24: 20/71 Loss: 0.029122
2026-05-20 13:51: Train Epoch 24: 40/71 Loss: 0.166635
2026-05-20 13:51: Train Epoch 24: 60/71 Loss: 0.034063
2026-05-20 13:51: **********Train Epoch 24: averaged Loss: 0.056849
2026-05-20 13:51: **********Val Epoch 24: average Loss: 0.112870
2026-05-20 13:51: Train Epoch 25: 0/71 Loss: 0.165681
2026-05-20 13:51: Train Epoch 25: 20/71 Loss: 0.004684
2026-05-20 13:51: Train Epoch 25: 40/71 Loss: 0.082666
2026-05-20 13:51: Train Epoch 25: 60/71 Loss: 0.015426
2026-05-20 13:51: **********Train Epoch 25: averaged Loss: 0.055509
2026-05-20 13:51: **********Val Epoch 25: average Loss: 0.111000
2026-05-20 13:51: Train Epoch 26: 0/71 Loss: 0.106541
2026-05-20 13:51: Train Epoch 26: 20/71 Loss: 0.026351
2026-05-20 13:51: Train Epoch 26: 40/71 Loss: 0.075676
2026-05-20 13:51: Train Epoch 26: 60/71 Loss: 0.062315
2026-05-20 13:51: **********Train Epoch 26: averaged Loss: 0.057402
2026-05-20 13:51: **********Val Epoch 26: average Loss: 0.126955
2026-05-20 13:51: Train Epoch 27: 0/71 Loss: 0.133976
2026-05-20 13:51: Train Epoch 27: 20/71 Loss: 0.008572
2026-05-20 13:51: Train Epoch 27: 40/71 Loss: 0.202135
2026-05-20 13:51: Train Epoch 27: 60/71 Loss: 0.127304
2026-05-20 13:51: **********Train Epoch 27: averaged Loss: 0.093930
2026-05-20 13:51: **********Val Epoch 27: average Loss: 0.118879
2026-05-20 13:51: Train Epoch 28: 0/71 Loss: 0.194922
2026-05-20 13:51: Train Epoch 28: 20/71 Loss: 0.064787
2026-05-20 13:51: Train Epoch 28: 40/71 Loss: 0.074994
2026-05-20 13:51: Train Epoch 28: 60/71 Loss: 0.017863
2026-05-20 13:51: **********Train Epoch 28: averaged Loss: 0.060389
2026-05-20 13:51: **********Val Epoch 28: average Loss: 0.070042
2026-05-20 13:51: *********************************Current best model saved!
2026-05-20 13:51: Train Epoch 29: 0/71 Loss: 0.209654
2026-05-20 13:51: Train Epoch 29: 20/71 Loss: 0.034858
2026-05-20 13:51: Train Epoch 29: 40/71 Loss: 0.036536
2026-05-20 13:51: Train Epoch 29: 60/71 Loss: 0.072318
2026-05-20 13:51: **********Train Epoch 29: averaged Loss: 0.048302
2026-05-20 13:51: **********Val Epoch 29: average Loss: 0.075865
2026-05-20 13:51: Train Epoch 30: 0/71 Loss: 0.226525
2026-05-20 13:51: Train Epoch 30: 20/71 Loss: 0.072401
2026-05-20 13:51: Train Epoch 30: 40/71 Loss: 0.122307
2026-05-20 13:51: Train Epoch 30: 60/71 Loss: 0.080024
2026-05-20 13:51: **********Train Epoch 30: averaged Loss: 0.069893
2026-05-20 13:51: **********Val Epoch 30: average Loss: 0.056523
2026-05-20 13:51: *********************************Current best model saved!
2026-05-20 13:51: Train Epoch 31: 0/71 Loss: 0.220239
2026-05-20 13:51: Train Epoch 31: 20/71 Loss: 0.095173
2026-05-20 13:51: Train Epoch 31: 40/71 Loss: 0.172469
2026-05-20 13:51: Train Epoch 31: 60/71 Loss: 0.060094
2026-05-20 13:51: **********Train Epoch 31: averaged Loss: 0.066298
2026-05-20 13:51: **********Val Epoch 31: average Loss: 0.096652
2026-05-20 13:51: Train Epoch 32: 0/71 Loss: 0.222650
2026-05-20 13:51: Train Epoch 32: 20/71 Loss: 0.036013
2026-05-20 13:51: Train Epoch 32: 40/71 Loss: 0.099023
2026-05-20 13:51: Train Epoch 32: 60/71 Loss: 0.031453
2026-05-20 13:51: **********Train Epoch 32: averaged Loss: 0.053771
2026-05-20 13:51: **********Val Epoch 32: average Loss: 0.061999
2026-05-20 13:51: Train Epoch 33: 0/71 Loss: 0.208352
2026-05-20 13:51: Train Epoch 33: 20/71 Loss: 0.033413
2026-05-20 13:51: Train Epoch 33: 40/71 Loss: 0.130856
2026-05-20 13:51: Train Epoch 33: 60/71 Loss: 0.105535
2026-05-20 13:51: **********Train Epoch 33: averaged Loss: 0.076931
2026-05-20 13:51: **********Val Epoch 33: average Loss: 0.119917
2026-05-20 13:51: Train Epoch 34: 0/71 Loss: 0.188079
2026-05-20 13:51: Train Epoch 34: 20/71 Loss: 0.009313
2026-05-20 13:51: Train Epoch 34: 40/71 Loss: 0.132895
2026-05-20 13:51: Train Epoch 34: 60/71 Loss: 0.054586
2026-05-20 13:51: **********Train Epoch 34: averaged Loss: 0.058211
2026-05-20 13:51: **********Val Epoch 34: average Loss: 0.090831
2026-05-20 13:51: Train Epoch 35: 0/71 Loss: 0.191466
2026-05-20 13:51: Train Epoch 35: 20/71 Loss: 0.016465
2026-05-20 13:51: Train Epoch 35: 40/71 Loss: 0.158263
2026-05-20 13:51: Train Epoch 35: 60/71 Loss: 0.080075
2026-05-20 13:51: **********Train Epoch 35: averaged Loss: 0.070164
2026-05-20 13:51: **********Val Epoch 35: average Loss: 0.088558
2026-05-20 13:51: Train Epoch 36: 0/71 Loss: 0.180985
2026-05-20 13:51: Train Epoch 36: 20/71 Loss: 0.047058
2026-05-20 13:51: Train Epoch 36: 40/71 Loss: 0.148436
2026-05-20 13:51: Train Epoch 36: 60/71 Loss: 0.112538
2026-05-20 13:51: **********Train Epoch 36: averaged Loss: 0.090798
2026-05-20 13:51: **********Val Epoch 36: average Loss: 0.193951
2026-05-20 13:51: Train Epoch 37: 0/71 Loss: 0.093935
2026-05-20 13:51: Train Epoch 37: 20/71 Loss: 0.003686
2026-05-20 13:51: Train Epoch 37: 40/71 Loss: 0.157983
2026-05-20 13:51: Train Epoch 37: 60/71 Loss: 0.083192
2026-05-20 13:51: **********Train Epoch 37: averaged Loss: 0.081820
2026-05-20 13:51: **********Val Epoch 37: average Loss: 0.190462
2026-05-20 13:51: Train Epoch 38: 0/71 Loss: 0.080699
2026-05-20 13:51: Train Epoch 38: 20/71 Loss: 0.007850
2026-05-20 13:51: Train Epoch 38: 40/71 Loss: 0.163911
2026-05-20 13:51: Train Epoch 38: 60/71 Loss: 0.042414
2026-05-20 13:51: **********Train Epoch 38: averaged Loss: 0.075010
2026-05-20 13:51: **********Val Epoch 38: average Loss: 0.161288
2026-05-20 13:51: Train Epoch 39: 0/71 Loss: 0.091141
2026-05-20 13:51: Train Epoch 39: 20/71 Loss: 0.026726
