2026-04-20 21:33: Experiment log path in: ./saved_models/DJIA/
2026-04-20 21:33: Train Epoch 1: 0/37 Loss: 0.719824
2026-04-20 21:33: Train Epoch 1: 20/37 Loss: 0.050987
2026-04-20 21:33: **********Train Epoch 1: averaged Loss: 0.120156
2026-04-20 21:33: **********Val Epoch 1: average Loss: 0.046386
2026-04-20 21:33: *********************************Current best model saved!
2026-04-20 21:33: Train Epoch 2: 0/37 Loss: 0.640783
2026-04-20 21:33: Train Epoch 2: 20/37 Loss: 0.279183
2026-04-20 21:33: **********Train Epoch 2: averaged Loss: 0.228186
2026-04-20 21:33: **********Val Epoch 2: average Loss: 0.093361
2026-04-20 21:33: Train Epoch 3: 0/37 Loss: 0.638629
2026-04-20 21:33: Train Epoch 3: 20/37 Loss: 0.346731
2026-04-20 21:33: **********Train Epoch 3: averaged Loss: 0.251424
2026-04-20 21:33: **********Val Epoch 3: average Loss: 0.066211
2026-04-20 21:33: Train Epoch 4: 0/37 Loss: 0.661368
2026-04-20 21:33: Train Epoch 4: 20/37 Loss: 0.206852
2026-04-20 21:33: **********Train Epoch 4: averaged Loss: 0.286957
2026-04-20 21:33: **********Val Epoch 4: average Loss: 0.055533
2026-04-20 21:33: Train Epoch 5: 0/37 Loss: 0.586000
2026-04-20 21:33: Train Epoch 5: 20/37 Loss: 0.215901
2026-04-20 21:33: **********Train Epoch 5: averaged Loss: 0.293967
2026-04-20 21:33: **********Val Epoch 5: average Loss: 0.033442
2026-04-20 21:33: *********************************Current best model saved!
2026-04-20 21:33: Train Epoch 6: 0/37 Loss: 0.550992
2026-04-20 21:33: Train Epoch 6: 20/37 Loss: 0.170471
2026-04-20 21:33: **********Train Epoch 6: averaged Loss: 0.255344
2026-04-20 21:33: **********Val Epoch 6: average Loss: 0.093517
2026-04-20 21:33: Train Epoch 7: 0/37 Loss: 0.649587
2026-04-20 21:33: Train Epoch 7: 20/37 Loss: 0.230710
2026-04-20 21:33: **********Train Epoch 7: averaged Loss: 0.271250
2026-04-20 21:33: **********Val Epoch 7: average Loss: 0.045059
2026-04-20 21:33: Train Epoch 8: 0/37 Loss: 0.463653
2026-04-20 21:33: Train Epoch 8: 20/37 Loss: 0.148257
2026-04-20 21:33: **********Train Epoch 8: averaged Loss: 0.270891
2026-04-20 21:33: **********Val Epoch 8: average Loss: 0.049908
2026-04-20 21:33: Train Epoch 9: 0/37 Loss: 0.433123
2026-04-20 21:33: Train Epoch 9: 20/37 Loss: 0.168628
2026-04-20 21:33: **********Train Epoch 9: averaged Loss: 0.249068
2026-04-20 21:33: **********Val Epoch 9: average Loss: 0.057504
2026-04-20 21:33: Train Epoch 10: 0/37 Loss: 0.399244
2026-04-20 21:33: Train Epoch 10: 20/37 Loss: 0.141798
2026-04-20 21:33: **********Train Epoch 10: averaged Loss: 0.207027
2026-04-20 21:33: **********Val Epoch 10: average Loss: 0.038023
2026-04-20 21:33: Train Epoch 11: 0/37 Loss: 0.385098
2026-04-20 21:33: Train Epoch 11: 20/37 Loss: 0.179063
2026-04-20 21:33: **********Train Epoch 11: averaged Loss: 0.219663
2026-04-20 21:33: **********Val Epoch 11: average Loss: 0.071059
2026-04-20 21:33: Train Epoch 12: 0/37 Loss: 0.369539
2026-04-20 21:33: Train Epoch 12: 20/37 Loss: 0.201512
2026-04-20 21:33: **********Train Epoch 12: averaged Loss: 0.168794
2026-04-20 21:33: **********Val Epoch 12: average Loss: 0.065409
2026-04-20 21:33: Train Epoch 13: 0/37 Loss: 0.333265
2026-04-20 21:33: Train Epoch 13: 20/37 Loss: 0.135297
2026-04-20 21:33: **********Train Epoch 13: averaged Loss: 0.121891
