2026-04-27 13:09: Experiment log path in: ./saved_models/NASDAQ/
2026-04-27 13:09: Train Epoch 1: 0/74 Loss: 0.588773
2026-04-27 13:09: Train Epoch 1: 20/74 Loss: 0.035303
2026-04-27 13:09: Train Epoch 1: 40/74 Loss: 0.061547
2026-04-27 13:09: Train Epoch 1: 60/74 Loss: 0.044173
2026-04-27 13:09: **********Train Epoch 1: averaged Loss: 0.074358
2026-04-27 13:09: **********Val Epoch 1: average Loss: 0.053289
2026-04-27 13:09: *********************************Current best model saved!
2026-04-27 13:09: Train Epoch 2: 0/74 Loss: 0.845418
2026-04-27 13:09: Train Epoch 2: 20/74 Loss: 0.060765
2026-04-27 13:09: Train Epoch 2: 40/74 Loss: 0.110266
2026-04-27 13:09: Train Epoch 2: 60/74 Loss: 0.053613
2026-04-27 13:09: **********Train Epoch 2: averaged Loss: 0.164109
2026-04-27 13:09: **********Val Epoch 2: average Loss: 0.197418
2026-04-27 13:09: Train Epoch 3: 0/74 Loss: 0.619901
2026-04-27 13:09: Train Epoch 3: 20/74 Loss: 0.201133
2026-04-27 13:09: Train Epoch 3: 40/74 Loss: 0.118534
2026-04-27 13:09: Train Epoch 3: 60/74 Loss: 0.056340
2026-04-27 13:09: **********Train Epoch 3: averaged Loss: 0.178495
2026-04-27 13:09: **********Val Epoch 3: average Loss: 0.238918
2026-04-27 13:09: Train Epoch 4: 0/74 Loss: 0.568055
2026-04-27 13:09: Train Epoch 4: 20/74 Loss: 0.077083
2026-04-27 13:09: Train Epoch 4: 40/74 Loss: 0.062932
2026-04-27 13:09: Train Epoch 4: 60/74 Loss: 0.098760
2026-04-27 13:09: **********Train Epoch 4: averaged Loss: 0.159608
2026-04-27 13:09: **********Val Epoch 4: average Loss: 0.233673
2026-04-27 13:09: Train Epoch 5: 0/74 Loss: 0.525802
2026-04-27 13:09: Train Epoch 5: 20/74 Loss: 0.087853
2026-04-27 13:09: Train Epoch 5: 40/74 Loss: 0.092785
2026-04-27 13:09: Train Epoch 5: 60/74 Loss: 0.033612
2026-04-27 13:09: **********Train Epoch 5: averaged Loss: 0.161619
2026-04-27 13:09: **********Val Epoch 5: average Loss: 0.221636
2026-04-27 13:09: Train Epoch 6: 0/74 Loss: 0.472564
2026-04-27 13:09: Train Epoch 6: 20/74 Loss: 0.077090
2026-04-27 13:09: Train Epoch 6: 40/74 Loss: 0.014752
2026-04-27 13:09: Train Epoch 6: 60/74 Loss: 0.117284
2026-04-27 13:09: **********Train Epoch 6: averaged Loss: 0.143794
2026-04-27 13:09: **********Val Epoch 6: average Loss: 0.233910
2026-04-27 13:09: Train Epoch 7: 0/74 Loss: 0.500088
2026-04-27 13:10: Train Epoch 7: 20/74 Loss: 0.022029
2026-04-27 13:10: Train Epoch 7: 40/74 Loss: 0.088847
2026-04-27 13:10: Train Epoch 7: 60/74 Loss: 0.094055
2026-04-27 13:10: **********Train Epoch 7: averaged Loss: 0.150778
2026-04-27 13:10: **********Val Epoch 7: average Loss: 0.323677
2026-04-27 13:10: Train Epoch 8: 0/74 Loss: 0.330058
2026-04-27 13:10: Train Epoch 8: 20/74 Loss: 0.067121
2026-04-27 13:10: Train Epoch 8: 40/74 Loss: 0.065678
2026-04-27 13:10: Train Epoch 8: 60/74 Loss: 0.096517
2026-04-27 13:10: **********Train Epoch 8: averaged Loss: 0.113053
2026-04-27 13:10: **********Val Epoch 8: average Loss: 0.247446
2026-04-27 13:10: Train Epoch 9: 0/74 Loss: 0.324795
2026-04-27 13:10: Train Epoch 9: 20/74 Loss: 0.105110
2026-04-27 13:10: Train Epoch 9: 40/74 Loss: 0.096009
2026-04-27 13:10: Train Epoch 9: 60/74 Loss: 0.040118
2026-04-27 13:10: **********Train Epoch 9: averaged Loss: 0.098818
2026-04-27 13:10: **********Val Epoch 9: average Loss: 0.169910
2026-04-27 13:10: Train Epoch 10: 0/74 Loss: 0.339080
2026-04-27 13:10: Train Epoch 10: 20/74 Loss: 0.111092
2026-04-27 13:10: Train Epoch 10: 40/74 Loss: 0.014116
2026-04-27 13:10: Train Epoch 10: 60/74 Loss: 0.007105
2026-04-27 13:10: **********Train Epoch 10: averaged Loss: 0.092652
2026-04-27 13:10: **********Val Epoch 10: average Loss: 0.102493
2026-04-27 13:10: Train Epoch 11: 0/74 Loss: 0.200900
2026-04-27 13:10: Train Epoch 11: 20/74 Loss: 0.123697
2026-04-27 13:10: Train Epoch 11: 40/74 Loss: 0.008789
2026-04-27 13:10: Train Epoch 11: 60/74 Loss: 0.033249
2026-04-27 13:10: **********Train Epoch 11: averaged Loss: 0.063859
2026-04-27 13:10: **********Val Epoch 11: average Loss: 0.131420
2026-04-27 13:10: Train Epoch 12: 0/74 Loss: 0.072751
2026-04-27 13:10: Train Epoch 12: 20/74 Loss: 0.021862
2026-04-27 13:10: Train Epoch 12: 40/74 Loss: 0.028234
2026-04-27 13:10: Train Epoch 12: 60/74 Loss: 0.033891
2026-04-27 13:10: **********Train Epoch 12: averaged Loss: 0.036687
2026-04-27 13:10: **********Val Epoch 12: average Loss: 0.157596
2026-04-27 13:10: Train Epoch 13: 0/74 Loss: 0.129163
2026-04-27 13:10: Train Epoch 13: 20/74 Loss: 0.055739
2026-04-27 13:10: Train Epoch 13: 40/74 Loss: 0.039872
2026-04-27 13:10: Train Epoch 13: 60/74 Loss: 0.063098
2026-04-27 13:10: **********Train Epoch 13: averaged Loss: 0.035876
2026-04-27 13:10: **********Val Epoch 13: average Loss: 0.045612
2026-04-27 13:10: *********************************Current best model saved!
2026-04-27 13:10: Train Epoch 14: 0/74 Loss: 0.381331
2026-04-27 13:10: Train Epoch 14: 20/74 Loss: 0.006714
2026-04-27 13:10: Train Epoch 14: 40/74 Loss: 0.079326
2026-04-27 13:10: Train Epoch 14: 60/74 Loss: 0.072331
2026-04-27 13:10: **********Train Epoch 14: averaged Loss: 0.111710
2026-04-27 13:10: **********Val Epoch 14: average Loss: 0.075200
2026-04-27 13:10: Train Epoch 15: 0/74 Loss: 0.135205
2026-04-27 13:10: Train Epoch 15: 20/74 Loss: 0.060218
2026-04-27 13:10: Train Epoch 15: 40/74 Loss: 0.007952
2026-04-27 13:10: Train Epoch 15: 60/74 Loss: 0.067424
2026-04-27 13:10: **********Train Epoch 15: averaged Loss: 0.046102
2026-04-27 13:10: **********Val Epoch 15: average Loss: 0.108656
2026-04-27 13:10: Train Epoch 16: 0/74 Loss: 0.116704
2026-04-27 13:10: Train Epoch 16: 20/74 Loss: 0.009755
2026-04-27 13:10: Train Epoch 16: 40/74 Loss: 0.055942
2026-04-27 13:10: Train Epoch 16: 60/74 Loss: 0.038411
2026-04-27 13:10: **********Train Epoch 16: averaged Loss: 0.027319
2026-04-27 13:10: **********Val Epoch 16: average Loss: 0.070697
2026-04-27 13:10: Train Epoch 17: 0/74 Loss: 0.247123
2026-04-27 13:10: Train Epoch 17: 20/74 Loss: 0.046249
2026-04-27 13:10: Train Epoch 17: 40/74 Loss: 0.013944
2026-04-27 13:10: Train Epoch 17: 60/74 Loss: 0.033627
2026-04-27 13:10: **********Train Epoch 17: averaged Loss: 0.050709
2026-04-27 13:10: **********Val Epoch 17: average Loss: 0.095616
2026-04-27 13:10: Train Epoch 18: 0/74 Loss: 0.171745
2026-04-27 13:10: Train Epoch 18: 20/74 Loss: 0.084709
2026-04-27 13:10: Train Epoch 18: 40/74 Loss: 0.010866
2026-04-27 13:10: Train Epoch 18: 60/74 Loss: 0.006257
2026-04-27 13:10: **********Train Epoch 18: averaged Loss: 0.044260
2026-04-27 13:10: **********Val Epoch 18: average Loss: 0.064404
2026-04-27 13:10: Train Epoch 19: 0/74 Loss: 0.237494
2026-04-27 13:10: Train Epoch 19: 20/74 Loss: 0.085534
2026-04-27 13:10: Train Epoch 19: 40/74 Loss: 0.027716
2026-04-27 13:10: Train Epoch 19: 60/74 Loss: 0.027633
2026-04-27 13:10: **********Train Epoch 19: averaged Loss: 0.052980
2026-04-27 13:10: **********Val Epoch 19: average Loss: 0.105377
2026-04-27 13:10: Train Epoch 20: 0/74 Loss: 0.148491
2026-04-27 13:10: Train Epoch 20: 20/74 Loss: 0.069565
2026-04-27 13:10: Train Epoch 20: 40/74 Loss: 0.048000
2026-04-27 13:10: Train Epoch 20: 60/74 Loss: 0.021522
