2026-04-24 09:37: Experiment log path in: ./saved_models/NYSE/
2026-04-24 09:37: Train Epoch 1: 0/74 Loss: 0.319952
2026-04-24 09:37: Train Epoch 1: 20/74 Loss: 0.105007
2026-04-24 09:37: Train Epoch 1: 40/74 Loss: 0.029775
2026-04-24 09:37: Train Epoch 1: 60/74 Loss: 0.061940
2026-04-24 09:37: **********Train Epoch 1: averaged Loss: 0.104966
2026-04-24 09:37: **********Val Epoch 1: average Loss: 0.040136
2026-04-24 09:37: *********************************Current best model saved!
2026-04-24 09:37: Train Epoch 2: 0/74 Loss: 0.420598
2026-04-24 09:37: Train Epoch 2: 20/74 Loss: 0.058197
2026-04-24 09:37: Train Epoch 2: 40/74 Loss: 0.009923
2026-04-24 09:37: Train Epoch 2: 60/74 Loss: 0.097735
2026-04-24 09:37: **********Train Epoch 2: averaged Loss: 0.107565
2026-04-24 09:37: **********Val Epoch 2: average Loss: 0.057214
2026-04-24 09:37: Train Epoch 3: 0/74 Loss: 0.498450
2026-04-24 09:37: Train Epoch 3: 20/74 Loss: 0.088450
2026-04-24 09:37: Train Epoch 3: 40/74 Loss: 0.146770
2026-04-24 09:37: Train Epoch 3: 60/74 Loss: 0.205952
2026-04-24 09:37: **********Train Epoch 3: averaged Loss: 0.133710
2026-04-24 09:37: **********Val Epoch 3: average Loss: 0.105327
2026-04-24 09:37: Train Epoch 4: 0/74 Loss: 0.585740
2026-04-24 09:37: Train Epoch 4: 20/74 Loss: 0.205476
2026-04-24 09:37: Train Epoch 4: 40/74 Loss: 0.035392
2026-04-24 09:37: Train Epoch 4: 60/74 Loss: 0.117848
2026-04-24 09:37: **********Train Epoch 4: averaged Loss: 0.122750
2026-04-24 09:37: **********Val Epoch 4: average Loss: 0.089155
2026-04-24 09:37: Train Epoch 5: 0/74 Loss: 0.508818
2026-04-24 09:37: Train Epoch 5: 20/74 Loss: 0.110837
2026-04-24 09:37: Train Epoch 5: 40/74 Loss: 0.016502
2026-04-24 09:37: Train Epoch 5: 60/74 Loss: 0.191247
2026-04-24 09:37: **********Train Epoch 5: averaged Loss: 0.120997
2026-04-24 09:37: **********Val Epoch 5: average Loss: 0.069529
2026-04-24 09:37: Train Epoch 6: 0/74 Loss: 0.488465
2026-04-24 09:37: Train Epoch 6: 20/74 Loss: 0.127426
2026-04-24 09:37: Train Epoch 6: 40/74 Loss: 0.017397
2026-04-24 09:37: Train Epoch 6: 60/74 Loss: 0.208584
2026-04-24 09:37: **********Train Epoch 6: averaged Loss: 0.127303
2026-04-24 09:37: **********Val Epoch 6: average Loss: 0.064355
2026-04-24 09:37: Train Epoch 7: 0/74 Loss: 0.527275
2026-04-24 09:37: Train Epoch 7: 20/74 Loss: 0.132613
2026-04-24 09:37: Train Epoch 7: 40/74 Loss: 0.077339
2026-04-24 09:37: Train Epoch 7: 60/74 Loss: 0.147824
2026-04-24 09:37: **********Train Epoch 7: averaged Loss: 0.117241
2026-04-24 09:37: **********Val Epoch 7: average Loss: 0.056734
2026-04-24 09:37: Train Epoch 8: 0/74 Loss: 0.466483
2026-04-24 09:37: Train Epoch 8: 20/74 Loss: 0.117051
2026-04-24 09:37: Train Epoch 8: 40/74 Loss: 0.056991
2026-04-24 09:37: Train Epoch 8: 60/74 Loss: 0.176999
2026-04-24 09:37: **********Train Epoch 8: averaged Loss: 0.106801
2026-04-24 09:37: **********Val Epoch 8: average Loss: 0.090142
