2026-05-18 10:48: Experiment log path in: /root/data-tmp/zzh/SAMBA/saved_models/NYSE_82/
2026-05-18 10:48: Train Epoch 1: 0/74 Loss: 0.970967
2026-05-18 10:48: Train Epoch 1: 20/74 Loss: 0.096090
2026-05-18 10:48: Train Epoch 1: 40/74 Loss: 0.119511
2026-05-18 10:48: Train Epoch 1: 60/74 Loss: 0.048391
2026-05-18 10:48: **********Train Epoch 1: averaged Loss: 0.089528
2026-05-18 10:48: **********Val Epoch 1: average Loss: 0.230167
2026-05-18 10:48: *********************************Current best model saved!
2026-05-18 10:48: Train Epoch 2: 0/74 Loss: 0.390741
2026-05-18 10:48: Train Epoch 2: 20/74 Loss: 0.005413
2026-05-18 10:48: Train Epoch 2: 40/74 Loss: 0.019185
2026-05-18 10:48: Train Epoch 2: 60/74 Loss: 0.092535
2026-05-18 10:48: **********Train Epoch 2: averaged Loss: 0.080226
2026-05-18 10:48: **********Val Epoch 2: average Loss: 0.244359
2026-05-18 10:48: Train Epoch 3: 0/74 Loss: 0.337297
2026-05-18 10:48: Train Epoch 3: 20/74 Loss: 0.005741
2026-05-18 10:48: Train Epoch 3: 40/74 Loss: 0.014343
2026-05-18 10:48: Train Epoch 3: 60/74 Loss: 0.012919
2026-05-18 10:48: **********Train Epoch 3: averaged Loss: 0.069762
2026-05-18 10:48: **********Val Epoch 3: average Loss: 0.167341
2026-05-18 10:48: *********************************Current best model saved!
2026-05-18 10:48: Train Epoch 4: 0/74 Loss: 0.423979
2026-05-18 10:48: Train Epoch 4: 20/74 Loss: 0.168996
2026-05-18 10:48: Train Epoch 4: 40/74 Loss: 0.021549
2026-05-18 10:48: Train Epoch 4: 60/74 Loss: 0.031799
2026-05-18 10:48: **********Train Epoch 4: averaged Loss: 0.085271
2026-05-18 10:48: **********Val Epoch 4: average Loss: 0.163729
2026-05-18 10:48: *********************************Current best model saved!
2026-05-18 10:48: Train Epoch 5: 0/74 Loss: 0.398298
2026-05-18 10:48: Train Epoch 5: 20/74 Loss: 0.203641
2026-05-18 10:48: Train Epoch 5: 40/74 Loss: 0.030132
2026-05-18 10:48: Train Epoch 5: 60/74 Loss: 0.022699
2026-05-18 10:48: **********Train Epoch 5: averaged Loss: 0.101721
2026-05-18 10:48: **********Val Epoch 5: average Loss: 0.131974
2026-05-18 10:48: *********************************Current best model saved!
2026-05-18 10:48: Train Epoch 6: 0/74 Loss: 0.411631
2026-05-18 10:49: Train Epoch 6: 20/74 Loss: 0.217796
2026-05-18 10:49: Train Epoch 6: 40/74 Loss: 0.050716
2026-05-18 10:49: Train Epoch 6: 60/74 Loss: 0.172163
2026-05-18 10:49: **********Train Epoch 6: averaged Loss: 0.131142
2026-05-18 10:49: **********Val Epoch 6: average Loss: 0.297117
2026-05-18 10:49: Train Epoch 7: 0/74 Loss: 0.308949
2026-05-18 10:49: Train Epoch 7: 20/74 Loss: 0.111952
