2026-05-18 13:07: Experiment log path in: /root/data-tmp/zzh/SAMBA/saved_models/NYSE_BASIC/
2026-05-18 13:07: Train Epoch 1: 0/87 Loss: 1.064045
2026-05-18 13:07: Train Epoch 1: 20/87 Loss: 0.047251
2026-05-18 13:07: Train Epoch 1: 40/87 Loss: 0.101420
2026-05-18 13:07: Train Epoch 1: 60/87 Loss: 0.013215
2026-05-18 13:07: Train Epoch 1: 80/87 Loss: 0.131379
2026-05-18 13:07: **********Train Epoch 1: averaged Loss: 0.172811
2026-05-18 13:07: **********Val Epoch 1: average Loss: 0.081503
2026-05-18 13:07: *********************************Current best model saved!
2026-05-18 13:07: Train Epoch 2: 0/87 Loss: 0.460247
2026-05-18 13:07: Train Epoch 2: 20/87 Loss: 0.120369
2026-05-18 13:07: Train Epoch 2: 40/87 Loss: 0.155319
2026-05-18 13:07: Train Epoch 2: 60/87 Loss: 0.182724
2026-05-18 13:07: Train Epoch 2: 80/87 Loss: 0.035425
2026-05-18 13:07: **********Train Epoch 2: averaged Loss: 0.161151
2026-05-18 13:07: **********Val Epoch 2: average Loss: 0.115832
2026-05-18 13:07: Train Epoch 3: 0/87 Loss: 0.312050
2026-05-18 13:07: Train Epoch 3: 20/87 Loss: 0.101056
2026-05-18 13:07: Train Epoch 3: 40/87 Loss: 0.034615
2026-05-18 13:07: Train Epoch 3: 60/87 Loss: 0.183315
2026-05-18 13:07: Train Epoch 3: 80/87 Loss: 0.036250
2026-05-18 13:07: **********Train Epoch 3: averaged Loss: 0.127245
2026-05-18 13:07: **********Val Epoch 3: average Loss: 0.107849
2026-05-18 13:07: Train Epoch 4: 0/87 Loss: 0.266299
2026-05-18 13:07: Train Epoch 4: 20/87 Loss: 0.064529
2026-05-18 13:07: Train Epoch 4: 40/87 Loss: 0.006829
2026-05-18 13:07: Train Epoch 4: 60/87 Loss: 0.017568
2026-05-18 13:07: Train Epoch 4: 80/87 Loss: 0.195629
2026-05-18 13:07: **********Train Epoch 4: averaged Loss: 0.114511
2026-05-18 13:07: **********Val Epoch 4: average Loss: 0.236023
2026-05-18 13:07: Train Epoch 5: 0/87 Loss: 0.358619
2026-05-18 13:07: Train Epoch 5: 20/87 Loss: 0.006522
2026-05-18 13:07: Train Epoch 5: 40/87 Loss: 0.106496
2026-05-18 13:07: Train Epoch 5: 60/87 Loss: 0.068085
2026-05-18 13:07: Train Epoch 5: 80/87 Loss: 0.210073
2026-05-18 13:07: **********Train Epoch 5: averaged Loss: 0.077049
2026-05-18 13:07: **********Val Epoch 5: average Loss: 0.173240
2026-05-18 13:07: Train Epoch 6: 0/87 Loss: 0.406933
2026-05-18 13:07: Train Epoch 6: 20/87 Loss: 0.031180
2026-05-18 13:07: Train Epoch 6: 40/87 Loss: 0.087386
2026-05-18 13:07: Train Epoch 6: 60/87 Loss: 0.064123
2026-05-18 13:07: Train Epoch 6: 80/87 Loss: 0.165844
2026-05-18 13:07: **********Train Epoch 6: averaged Loss: 0.088064
2026-05-18 13:07: **********Val Epoch 6: average Loss: 0.220766
2026-05-18 13:07: Train Epoch 7: 0/87 Loss: 0.340916
2026-05-18 13:07: Train Epoch 7: 20/87 Loss: 0.005151
2026-05-18 13:07: Train Epoch 7: 40/87 Loss: 0.019023
2026-05-18 13:07: Train Epoch 7: 60/87 Loss: 0.181944
2026-05-18 13:07: Train Epoch 7: 80/87 Loss: 0.174697
2026-05-18 13:07: **********Train Epoch 7: averaged Loss: 0.096140
2026-05-18 13:07: **********Val Epoch 7: average Loss: 0.182242
2026-05-18 13:07: Train Epoch 8: 0/87 Loss: 0.349136
2026-05-18 13:07: Train Epoch 8: 20/87 Loss: 0.041678
2026-05-18 13:07: Train Epoch 8: 40/87 Loss: 0.031643
2026-05-18 13:07: Train Epoch 8: 60/87 Loss: 0.027961
2026-05-18 13:07: Train Epoch 8: 80/87 Loss: 0.261466
2026-05-18 13:07: **********Train Epoch 8: averaged Loss: 0.083472
2026-05-18 13:07: **********Val Epoch 8: average Loss: 0.171134
2026-05-18 13:07: Train Epoch 9: 0/87 Loss: 0.456392
2026-05-18 13:07: Train Epoch 9: 20/87 Loss: 0.026133
2026-05-18 13:07: Train Epoch 9: 40/87 Loss: 0.063949
2026-05-18 13:07: Train Epoch 9: 60/87 Loss: 0.048879
2026-05-18 13:07: Train Epoch 9: 80/87 Loss: 0.185535
2026-05-18 13:07: **********Train Epoch 9: averaged Loss: 0.073527
2026-05-18 13:07: **********Val Epoch 9: average Loss: 0.191918
2026-05-18 13:07: Train Epoch 10: 0/87 Loss: 0.375670
2026-05-18 13:07: Train Epoch 10: 20/87 Loss: 0.050107
2026-05-18 13:07: Train Epoch 10: 40/87 Loss: 0.029635
2026-05-18 13:07: Train Epoch 10: 60/87 Loss: 0.009565
2026-05-18 13:07: Train Epoch 10: 80/87 Loss: 0.219949
2026-05-18 13:07: **********Train Epoch 10: averaged Loss: 0.079073
2026-05-18 13:07: **********Val Epoch 10: average Loss: 0.182984
2026-05-18 13:07: Train Epoch 11: 0/87 Loss: 0.379576
2026-05-18 13:07: Train Epoch 11: 20/87 Loss: 0.042279
2026-05-18 13:07: Train Epoch 11: 40/87 Loss: 0.041474
2026-05-18 13:07: Train Epoch 11: 60/87 Loss: 0.010456
2026-05-18 13:07: Train Epoch 11: 80/87 Loss: 0.088410
2026-05-18 13:07: **********Train Epoch 11: averaged Loss: 0.078407
2026-05-18 13:07: **********Val Epoch 11: average Loss: 0.166824
2026-05-18 13:07: Train Epoch 12: 0/87 Loss: 0.350419
2026-05-18 13:07: Train Epoch 12: 20/87 Loss: 0.089725
2026-05-18 13:07: Train Epoch 12: 40/87 Loss: 0.086519
2026-05-18 13:07: Train Epoch 12: 60/87 Loss: 0.025366
2026-05-18 13:07: Train Epoch 12: 80/87 Loss: 0.140507
2026-05-18 13:07: **********Train Epoch 12: averaged Loss: 0.093541
2026-05-18 13:07: **********Val Epoch 12: average Loss: 0.205968
2026-05-18 13:07: Train Epoch 13: 0/87 Loss: 0.374133
2026-05-18 13:07: Train Epoch 13: 20/87 Loss: 0.103206
2026-05-18 13:07: Train Epoch 13: 40/87 Loss: 0.009342
2026-05-18 13:07: Train Epoch 13: 60/87 Loss: 0.061044
2026-05-18 13:07: Train Epoch 13: 80/87 Loss: 0.086346
2026-05-18 13:07: **********Train Epoch 13: averaged Loss: 0.086541
2026-05-18 13:07: **********Val Epoch 13: average Loss: 0.226716
2026-05-18 13:07: Train Epoch 14: 0/87 Loss: 0.335143
2026-05-18 13:08: Train Epoch 14: 20/87 Loss: 0.127103
2026-05-18 13:08: Train Epoch 14: 40/87 Loss: 0.089953
2026-05-18 13:08: Train Epoch 14: 60/87 Loss: 0.030075
2026-05-18 13:08: Train Epoch 14: 80/87 Loss: 0.051126
2026-05-18 13:08: **********Train Epoch 14: averaged Loss: 0.104821
2026-05-18 13:08: **********Val Epoch 14: average Loss: 0.265596
2026-05-18 13:08: Train Epoch 15: 0/87 Loss: 0.307551
2026-05-18 13:08: Train Epoch 15: 20/87 Loss: 0.110961
2026-05-18 13:08: Train Epoch 15: 40/87 Loss: 0.080383
2026-05-18 13:08: Train Epoch 15: 60/87 Loss: 0.010882
2026-05-18 13:08: Train Epoch 15: 80/87 Loss: 0.212149
2026-05-18 13:08: **********Train Epoch 15: averaged Loss: 0.078548
2026-05-18 13:08: **********Val Epoch 15: average Loss: 0.172161
2026-05-18 13:08: Train Epoch 16: 0/87 Loss: 0.372529
2026-05-18 13:08: Train Epoch 16: 20/87 Loss: 0.082615
2026-05-18 13:08: Train Epoch 16: 40/87 Loss: 0.119367
2026-05-18 13:08: Train Epoch 16: 60/87 Loss: 0.010582
2026-05-18 13:08: Train Epoch 16: 80/87 Loss: 0.098276
2026-05-18 13:08: **********Train Epoch 16: averaged Loss: 0.088512
2026-05-18 13:08: **********Val Epoch 16: average Loss: 0.187598
2026-05-18 13:08: Train Epoch 17: 0/87 Loss: 0.335693
2026-05-18 13:08: Train Epoch 17: 20/87 Loss: 0.116595
2026-05-18 13:08: Train Epoch 17: 40/87 Loss: 0.087667
2026-05-18 13:08: Train Epoch 17: 60/87 Loss: 0.038572
2026-05-18 13:08: Train Epoch 17: 80/87 Loss: 0.119362
2026-05-18 13:08: **********Train Epoch 17: averaged Loss: 0.112116
2026-05-18 13:08: **********Val Epoch 17: average Loss: 0.223085
2026-05-18 13:08: Train Epoch 18: 0/87 Loss: 0.277750
2026-05-18 13:08: Train Epoch 18: 20/87 Loss: 0.136507
2026-05-18 13:08: Train Epoch 18: 40/87 Loss: 0.049819
2026-05-18 13:08: Train Epoch 18: 60/87 Loss: 0.022553
2026-05-18 13:08: Train Epoch 18: 80/87 Loss: 0.213006
2026-05-18 13:08: **********Train Epoch 18: averaged Loss: 0.097969
2026-05-18 13:08: **********Val Epoch 18: average Loss: 0.180619
2026-05-18 13:08: Train Epoch 19: 0/87 Loss: 0.392886
2026-05-18 13:08: Train Epoch 19: 20/87 Loss: 0.106284
2026-05-18 13:08: Train Epoch 19: 40/87 Loss: 0.042231
2026-05-18 13:08: Train Epoch 19: 60/87 Loss: 0.155257
2026-05-18 13:08: Train Epoch 19: 80/87 Loss: 0.167792
2026-05-18 13:08: **********Train Epoch 19: averaged Loss: 0.103772
2026-05-18 13:08: **********Val Epoch 19: average Loss: 0.249491
2026-05-18 13:08: Train Epoch 20: 0/87 Loss: 0.268746
2026-05-18 13:08: Train Epoch 20: 20/87 Loss: 0.091276
2026-05-18 13:08: Train Epoch 20: 40/87 Loss: 0.110535
2026-05-18 13:08: Train Epoch 20: 60/87 Loss: 0.123559
2026-05-18 13:08: Train Epoch 20: 80/87 Loss: 0.078850
2026-05-18 13:08: **********Train Epoch 20: averaged Loss: 0.086807
2026-05-18 13:08: **********Val Epoch 20: average Loss: 0.224408
2026-05-18 13:08: Train Epoch 21: 0/87 Loss: 0.385374
2026-05-18 13:08: Train Epoch 21: 20/87 Loss: 0.009964
2026-05-18 13:08: Train Epoch 21: 40/87 Loss: 0.020161
2026-05-18 13:08: Train Epoch 21: 60/87 Loss: 0.086474
2026-05-18 13:08: Train Epoch 21: 80/87 Loss: 0.145741
2026-05-18 13:08: **********Train Epoch 21: averaged Loss: 0.089175
2026-05-18 13:08: **********Val Epoch 21: average Loss: 0.197883
2026-05-18 13:08: Train Epoch 22: 0/87 Loss: 0.387619
2026-05-18 13:08: Train Epoch 22: 20/87 Loss: 0.051229
2026-05-18 13:08: Train Epoch 22: 40/87 Loss: 0.044380
2026-05-18 13:08: Train Epoch 22: 60/87 Loss: 0.163662
2026-05-18 13:08: Train Epoch 22: 80/87 Loss: 0.173288
2026-05-18 13:08: **********Train Epoch 22: averaged Loss: 0.114656
2026-05-18 13:08: **********Val Epoch 22: average Loss: 0.285524
2026-05-18 13:08: Train Epoch 23: 0/87 Loss: 0.313984
2026-05-18 13:08: Train Epoch 23: 20/87 Loss: 0.125072
2026-05-18 13:08: Train Epoch 23: 40/87 Loss: 0.026406
2026-05-18 13:08: Train Epoch 23: 60/87 Loss: 0.070260
2026-05-18 13:08: Train Epoch 23: 80/87 Loss: 0.241025
2026-05-18 13:08: **********Train Epoch 23: averaged Loss: 0.096329
2026-05-18 13:08: **********Val Epoch 23: average Loss: 0.189389
2026-05-18 13:08: Train Epoch 24: 0/87 Loss: 0.312488
2026-05-18 13:08: Train Epoch 24: 20/87 Loss: 0.039553
2026-05-18 13:08: Train Epoch 24: 40/87 Loss: 0.020402
2026-05-18 13:08: Train Epoch 24: 60/87 Loss: 0.084707
2026-05-18 13:08: Train Epoch 24: 80/87 Loss: 0.129620
2026-05-18 13:08: **********Train Epoch 24: averaged Loss: 0.095118
2026-05-18 13:08: **********Val Epoch 24: average Loss: 0.221485
2026-05-18 13:08: Train Epoch 25: 0/87 Loss: 0.358787
2026-05-18 13:08: Train Epoch 25: 20/87 Loss: 0.018171
2026-05-18 13:08: Train Epoch 25: 40/87 Loss: 0.098684
2026-05-18 13:08: Train Epoch 25: 60/87 Loss: 0.080379
2026-05-18 13:08: Train Epoch 25: 80/87 Loss: 0.141240
2026-05-18 13:08: **********Train Epoch 25: averaged Loss: 0.111787
2026-05-18 13:08: **********Val Epoch 25: average Loss: 0.213447
2026-05-18 13:08: Train Epoch 26: 0/87 Loss: 0.353861
2026-05-18 13:08: Train Epoch 26: 20/87 Loss: 0.020543
2026-05-18 13:08: Train Epoch 26: 40/87 Loss: 0.078359
2026-05-18 13:08: Train Epoch 26: 60/87 Loss: 0.030594
2026-05-18 13:08: Train Epoch 26: 80/87 Loss: 0.188368
2026-05-18 13:08: **********Train Epoch 26: averaged Loss: 0.100253
2026-05-18 13:08: **********Val Epoch 26: average Loss: 0.210163
2026-05-18 13:08: Train Epoch 27: 0/87 Loss: 0.347135
2026-05-18 13:08: Train Epoch 27: 20/87 Loss: 0.008174
2026-05-18 13:08: Train Epoch 27: 40/87 Loss: 0.150341
2026-05-18 13:08: Train Epoch 27: 60/87 Loss: 0.020260
2026-05-18 13:08: Train Epoch 27: 80/87 Loss: 0.150360
2026-05-18 13:08: **********Train Epoch 27: averaged Loss: 0.112671
2026-05-18 13:08: **********Val Epoch 27: average Loss: 0.223411
2026-05-18 13:08: Train Epoch 28: 0/87 Loss: 0.349997
2026-05-18 13:08: Train Epoch 28: 20/87 Loss: 0.028461
2026-05-18 13:08: Train Epoch 28: 40/87 Loss: 0.023110
2026-05-18 13:08: Train Epoch 28: 60/87 Loss: 0.032634
2026-05-18 13:08: Train Epoch 28: 80/87 Loss: 0.167355
2026-05-18 13:09: **********Train Epoch 28: averaged Loss: 0.091840
2026-05-18 13:09: **********Val Epoch 28: average Loss: 0.154354
2026-05-18 13:09: Train Epoch 29: 0/87 Loss: 0.402479
2026-05-18 13:09: Train Epoch 29: 20/87 Loss: 0.051721
2026-05-18 13:09: Train Epoch 29: 40/87 Loss: 0.130040
2026-05-18 13:09: Train Epoch 29: 60/87 Loss: 0.056254
2026-05-18 13:09: Train Epoch 29: 80/87 Loss: 0.216936
2026-05-18 13:09: **********Train Epoch 29: averaged Loss: 0.116442
2026-05-18 13:09: **********Val Epoch 29: average Loss: 0.204390
2026-05-18 13:09: Train Epoch 30: 0/87 Loss: 0.335905
2026-05-18 13:09: Train Epoch 30: 20/87 Loss: 0.021257
2026-05-18 13:09: Train Epoch 30: 40/87 Loss: 0.079491
2026-05-18 13:09: Train Epoch 30: 60/87 Loss: 0.051031
2026-05-18 13:09: Train Epoch 30: 80/87 Loss: 0.162720
2026-05-18 13:09: **********Train Epoch 30: averaged Loss: 0.099623
2026-05-18 13:09: **********Val Epoch 30: average Loss: 0.215757
2026-05-18 13:09: Train Epoch 31: 0/87 Loss: 0.358310
2026-05-18 13:09: Train Epoch 31: 20/87 Loss: 0.090663
2026-05-18 13:09: Train Epoch 31: 40/87 Loss: 0.112363
2026-05-18 13:09: Train Epoch 31: 60/87 Loss: 0.077554
2026-05-18 13:09: Train Epoch 31: 80/87 Loss: 0.165954
2026-05-18 13:09: **********Train Epoch 31: averaged Loss: 0.112125
2026-05-18 13:09: **********Val Epoch 31: average Loss: 0.179057
2026-05-18 13:09: Train Epoch 32: 0/87 Loss: 0.370061
2026-05-18 13:09: Train Epoch 32: 20/87 Loss: 0.011373
2026-05-18 13:09: Train Epoch 32: 40/87 Loss: 0.109463
2026-05-18 13:09: Train Epoch 32: 60/87 Loss: 0.076670
2026-05-18 13:09: Train Epoch 32: 80/87 Loss: 0.183054
2026-05-18 13:09: **********Train Epoch 32: averaged Loss: 0.107111
2026-05-18 13:09: **********Val Epoch 32: average Loss: 0.176763
2026-05-18 13:09: Train Epoch 33: 0/87 Loss: 0.350838
2026-05-18 13:09: Train Epoch 33: 20/87 Loss: 0.062539
2026-05-18 13:09: Train Epoch 33: 40/87 Loss: 0.136594
2026-05-18 13:09: Train Epoch 33: 60/87 Loss: 0.012134
2026-05-18 13:09: Train Epoch 33: 80/87 Loss: 0.132447
2026-05-18 13:09: **********Train Epoch 33: averaged Loss: 0.105718
2026-05-18 13:09: **********Val Epoch 33: average Loss: 0.216271
2026-05-18 13:09: Train Epoch 34: 0/87 Loss: 0.356208
2026-05-18 13:09: Train Epoch 34: 20/87 Loss: 0.077590
2026-05-18 13:09: Train Epoch 34: 40/87 Loss: 0.123447
2026-05-18 13:09: Train Epoch 34: 60/87 Loss: 0.092126
2026-05-18 13:09: Train Epoch 34: 80/87 Loss: 0.145420
2026-05-18 13:09: **********Train Epoch 34: averaged Loss: 0.109756
2026-05-18 13:09: **********Val Epoch 34: average Loss: 0.213003
2026-05-18 13:09: Train Epoch 35: 0/87 Loss: 0.331392
2026-05-18 13:09: Train Epoch 35: 20/87 Loss: 0.014687
2026-05-18 13:09: Train Epoch 35: 40/87 Loss: 0.114857
2026-05-18 13:09: Train Epoch 35: 60/87 Loss: 0.069704
2026-05-18 13:09: Train Epoch 35: 80/87 Loss: 0.185332
2026-05-18 13:09: **********Train Epoch 35: averaged Loss: 0.103072
2026-05-18 13:09: **********Val Epoch 35: average Loss: 0.195738
2026-05-18 13:09: Train Epoch 36: 0/87 Loss: 0.348008
2026-05-18 13:09: Train Epoch 36: 20/87 Loss: 0.068794
2026-05-18 13:09: Train Epoch 36: 40/87 Loss: 0.131255
2026-05-18 13:09: Train Epoch 36: 60/87 Loss: 0.043272
2026-05-18 13:09: Train Epoch 36: 80/87 Loss: 0.170429
2026-05-18 13:09: **********Train Epoch 36: averaged Loss: 0.107434
2026-05-18 13:09: **********Val Epoch 36: average Loss: 0.197543
2026-05-18 13:09: Train Epoch 37: 0/87 Loss: 0.373580
2026-05-18 13:09: Train Epoch 37: 20/87 Loss: 0.089608
2026-05-18 13:09: Train Epoch 37: 40/87 Loss: 0.110725
2026-05-18 13:09: Train Epoch 37: 60/87 Loss: 0.072701
2026-05-18 13:09: Train Epoch 37: 80/87 Loss: 0.171602
2026-05-18 13:09: **********Train Epoch 37: averaged Loss: 0.101359
2026-05-18 13:09: **********Val Epoch 37: average Loss: 0.210143
2026-05-18 13:09: Train Epoch 38: 0/87 Loss: 0.322919
2026-05-18 13:09: Train Epoch 38: 20/87 Loss: 0.057333
2026-05-18 13:09: Train Epoch 38: 40/87 Loss: 0.109630
2026-05-18 13:09: Train Epoch 38: 60/87 Loss: 0.066484
2026-05-18 13:09: Train Epoch 38: 80/87 Loss: 0.214207
2026-05-18 13:09: **********Train Epoch 38: averaged Loss: 0.096152
2026-05-18 13:09: **********Val Epoch 38: average Loss: 0.163938
2026-05-18 13:09: Train Epoch 39: 0/87 Loss: 0.395654
2026-05-18 13:09: Train Epoch 39: 20/87 Loss: 0.069382
2026-05-18 13:09: Train Epoch 39: 40/87 Loss: 0.105391
2026-05-18 13:09: Train Epoch 39: 60/87 Loss: 0.071217
2026-05-18 13:09: Train Epoch 39: 80/87 Loss: 0.176583
2026-05-18 13:09: **********Train Epoch 39: averaged Loss: 0.102943
2026-05-18 13:09: **********Val Epoch 39: average Loss: 0.171125
2026-05-18 13:09: Train Epoch 40: 0/87 Loss: 0.326652
2026-05-18 13:09: Train Epoch 40: 20/87 Loss: 0.108509
2026-05-18 13:09: Train Epoch 40: 40/87 Loss: 0.086201
2026-05-18 13:09: Train Epoch 40: 60/87 Loss: 0.072477
2026-05-18 13:09: Train Epoch 40: 80/87 Loss: 0.120006
2026-05-18 13:09: **********Train Epoch 40: averaged Loss: 0.099916
2026-05-18 13:09: **********Val Epoch 40: average Loss: 0.227454
2026-05-18 13:09: Train Epoch 41: 0/87 Loss: 0.308371
2026-05-18 13:09: Train Epoch 41: 20/87 Loss: 0.105614
2026-05-18 13:09: Train Epoch 41: 40/87 Loss: 0.127386
2026-05-18 13:09: Train Epoch 41: 60/87 Loss: 0.045652
2026-05-18 13:09: Train Epoch 41: 80/87 Loss: 0.100827
2026-05-18 13:09: **********Train Epoch 41: averaged Loss: 0.091632
2026-05-18 13:09: **********Val Epoch 41: average Loss: 0.225408
2026-05-18 13:09: Train Epoch 42: 0/87 Loss: 0.327973
2026-05-18 13:09: Train Epoch 42: 20/87 Loss: 0.106006
2026-05-18 13:09: Train Epoch 42: 40/87 Loss: 0.087257
2026-05-18 13:09: Train Epoch 42: 60/87 Loss: 0.028177
2026-05-18 13:09: Train Epoch 42: 80/87 Loss: 0.182714
2026-05-18 13:09: **********Train Epoch 42: averaged Loss: 0.086529
2026-05-18 13:09: **********Val Epoch 42: average Loss: 0.165663
2026-05-18 13:09: Train Epoch 43: 0/87 Loss: 0.287356
2026-05-18 13:09: Train Epoch 43: 20/87 Loss: 0.038996
2026-05-18 13:09: Train Epoch 43: 40/87 Loss: 0.079037
2026-05-18 13:09: Train Epoch 43: 60/87 Loss: 0.020744
2026-05-18 13:10: Train Epoch 43: 80/87 Loss: 0.149370
2026-05-18 13:10: **********Train Epoch 43: averaged Loss: 0.089479
2026-05-18 13:10: **********Val Epoch 43: average Loss: 0.185742
2026-05-18 13:10: Train Epoch 44: 0/87 Loss: 0.294106
2026-05-18 13:10: Train Epoch 44: 20/87 Loss: 0.063988
2026-05-18 13:10: Train Epoch 44: 40/87 Loss: 0.095882
2026-05-18 13:10: Train Epoch 44: 60/87 Loss: 0.056629
2026-05-18 13:10: Train Epoch 44: 80/87 Loss: 0.092371
2026-05-18 13:10: **********Train Epoch 44: averaged Loss: 0.096593
2026-05-18 13:10: **********Val Epoch 44: average Loss: 0.210444
2026-05-18 13:10: Train Epoch 45: 0/87 Loss: 0.220619
2026-05-18 13:10: Train Epoch 45: 20/87 Loss: 0.037563
2026-05-18 13:10: Train Epoch 45: 40/87 Loss: 0.035803
2026-05-18 13:10: Train Epoch 45: 60/87 Loss: 0.074306
