2026-04-26 10:18: Experiment log path in: saved_models/sweeps/all_markets/NYSE/bs32_lr0p0003_seed1
2026-04-26 10:18: Train Epoch 1: 0/74 Loss: 0.970967
2026-04-26 10:19: Train Epoch 1: 20/74 Loss: 0.169239
2026-04-26 10:19: Train Epoch 1: 40/74 Loss: 0.021166
2026-04-26 10:19: Train Epoch 1: 60/74 Loss: 0.021835
2026-04-26 10:19: **********Train Epoch 1: averaged Loss: 0.099790
2026-04-26 10:19: **********Val Epoch 1: average Loss: 0.157032
2026-04-26 10:19: *********************************Current best model saved!
2026-04-26 10:19: Train Epoch 2: 0/74 Loss: 0.457188
2026-04-26 10:19: Train Epoch 2: 20/74 Loss: 0.049586
2026-04-26 10:19: Train Epoch 2: 40/74 Loss: 0.073090
2026-04-26 10:19: Train Epoch 2: 60/74 Loss: 0.064854
2026-04-26 10:19: **********Train Epoch 2: averaged Loss: 0.083119
2026-04-26 10:19: **********Val Epoch 2: average Loss: 0.222396
2026-04-26 10:19: Train Epoch 3: 0/74 Loss: 0.373926
2026-04-26 10:19: Train Epoch 3: 20/74 Loss: 0.055650
2026-04-26 10:19: Train Epoch 3: 40/74 Loss: 0.072670
2026-04-26 10:19: Train Epoch 3: 60/74 Loss: 0.060490
2026-04-26 10:19: **********Train Epoch 3: averaged Loss: 0.079146
2026-04-26 10:19: **********Val Epoch 3: average Loss: 0.204486
2026-04-26 10:19: Train Epoch 4: 0/74 Loss: 0.386246
2026-04-26 10:19: Train Epoch 4: 20/74 Loss: 0.125713
2026-04-26 10:19: Train Epoch 4: 40/74 Loss: 0.025914
2026-04-26 10:19: Train Epoch 4: 60/74 Loss: 0.018872
2026-04-26 10:19: **********Train Epoch 4: averaged Loss: 0.084541
2026-04-26 10:19: **********Val Epoch 4: average Loss: 0.181354
2026-04-26 10:19: Train Epoch 5: 0/74 Loss: 0.381677
2026-04-26 10:19: Train Epoch 5: 20/74 Loss: 0.187038
2026-04-26 10:19: Train Epoch 5: 40/74 Loss: 0.060296
2026-04-26 10:19: Train Epoch 5: 60/74 Loss: 0.088703
2026-04-26 10:19: **********Train Epoch 5: averaged Loss: 0.126423
2026-04-26 10:19: **********Val Epoch 5: average Loss: 0.260201
2026-04-26 10:19: Train Epoch 6: 0/74 Loss: 0.271152
2026-04-26 10:19: Train Epoch 6: 20/74 Loss: 0.046313
